State,TN Buildings,TN Contents,TN BI,HA Buildings,HA Contents,HA BI,WTS Buildings,WTS Contents,WTS BI,FL Buildings,FL Contents,FL BI,WF Buildings,WF Contents,WF BI
AB,0.000028000000000000,0.000028000000000000,0.000028000000000000,0.000196000000000000,0.000196000000000000,0.000196000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000250000000000000,0.000250000000000000,0.000250000000000000,0.000373333333333333,0.000373333333333333,0.000373333333333333
BC,0.000002240000000000,0.000002240000000000,0.000002240000000000,0.000002800000000000,0.000002800000000000,0.000002800000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000250000000000000,0.000250000000000000,0.000250000000000000,0.000373333333333333,0.000373333333333333,0.000373333333333333
MB,0.000028000000000000,0.000028000000000000,0.000028000000000000,0.000002800000000000,0.000002800000000000,0.000002800000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000250000000000000,0.000250000000000000,0.000250000000000000,0.000373333333333333,0.000373333333333333,0.000373333333333333
NB,0.000002240000000000,0.000002240000000000,0.000002240000000000,0.000126000000000000,0.000126000000000000,0.000126000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000250000000000000,0.000250000000000000,0.000250000000000000,0.000373333333333333,0.000373333333333333,0.000373333333333333
NL,0.000002240000000000,0.000002240000000000,0.000002240000000000,0.000002800000000000,0.000002800000000000,0.000002800000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000250000000000000,0.000250000000000000,0.000250000000000000,0.000373333333333333,0.000373333333333333,0.000373333333333333
NS,0.000002240000000000,0.000002240000000000,0.000002240000000000,0.000002800000000000,0.000002800000000000,0.000002800000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000250000000000000,0.000250000000000000,0.000250000000000000,0.000373333333333333,0.000373333333333333,0.000373333333333333
NT,0.000002240000000000,0.000002240000000000,0.000002240000000000,0.000002800000000000,0.000002800000000000,0.000002800000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000250000000000000,0.000250000000000000,0.000250000000000000,0.000373333333333333,0.000373333333333333,0.000373333333333333
NU,0.000002240000000000,0.000002240000000000,0.000002240000000000,0.000002800000000000,0.000002800000000000,0.000002800000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000250000000000000,0.000250000000000000,0.000250000000000000,0.000373333333333333,0.000373333333333333,0.000373333333333333
PE,0.000002240000000000,0.000002240000000000,0.000002240000000000,0.000002800000000000,0.000002800000000000,0.000002800000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000250000000000000,0.000250000000000000,0.000250000000000000,0.000373333333333333,0.000373333333333333,0.000373333333333333
QC,0.000028000000000000,0.000028000000000000,0.000028000000000000,0.000126000000000000,0.000126000000000000,0.000126000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000250000000000000,0.000250000000000000,0.000250000000000000,0.000373333333333333,0.000373333333333333,0.000373333333333333
