TIV,ISO.1,ISO.2,ISO.3,ISO.4,ISO.5,ISO.6
0,2.5,2.5,2.5,2.5,2.5,2.5
50000,2,2,2,2,2,2
75000,1.75,1.75,1.75,1.75,1.75,1.75
100000,1.5,1.5,1.5,1.5,1.5,1.5
125000,1.25,1.25,1.25,1.25,1.25,1.25
150000,1.093,1.093,1.093,1.137,1.137,1.137
175000,1.064,1.064,1.064,1.094,1.094,1.094
200000,1.039,1.039,1.039,1.058,1.058,1.058
225000,1.018,1.018,1.018,1.027,1.027,1.027
250000,1,1,1,1,1,1
275000,0.984,0.984,0.984,0.976,0.976,0.976
300000,0.969,0.969,0.969,0.955,0.955,0.955
325000,0.956,0.956,0.956,0.936,0.936,0.936
350000,0.943,0.943,0.943,0.919,0.919,0.919
375000,0.932,0.932,0.932,0.903,0.903,0.903
400000,0.922,0.922,0.922,0.889,0.889,0.889
425000,0.912,0.912,0.912,0.875,0.875,0.875
450000,0.903,0.903,0.903,0.863,0.863,0.863
475000,0.895,0.895,0.895,0.851,0.851,0.851
500000,0.887,0.887,0.887,0.841,0.841,0.841
550000,0.872,0.872,0.872,0.821,0.821,0.821
600000,0.859,0.859,0.859,0.803,0.803,0.803
650000,0.847,0.847,0.847,0.787,0.787,0.787
700000,0.837,0.837,0.837,0.773,0.773,0.773
750000,0.827,0.827,0.827,0.759,0.759,0.759
800000,0.817,0.817,0.817,0.747,0.747,0.747
850000,0.809,0.809,0.809,0.736,0.736,0.736
900000,0.801,0.801,0.801,0.725,0.725,0.725
950000,0.793,0.793,0.793,0.716,0.716,0.716
1000000,0.786,0.786,0.786,0.706,0.706,0.706
1250000,0.757,0.757,0.757,0.668,0.668,0.668
1500000,0.733,0.733,0.733,0.638,0.638,0.638
1750000,0.714,0.714,0.714,0.614,0.614,0.614
2000000,0.697,0.697,0.697,0.594,0.594,0.594
2250000,0.683,0.683,0.683,0.577,0.577,0.577
2500000,0.671,0.671,0.671,0.561,0.561,0.561
2750000,0.66,0.66,0.66,0.548,0.548,0.548
3000000,0.65,0.65,0.65,0.536,0.536,0.536
3250000,0.641,0.641,0.641,0.526,0.526,0.526
3500000,0.633,0.633,0.633,0.516,0.516,0.516
3750000,0.625,0.625,0.625,0.507,0.507,0.507
4000000,0.618,0.618,0.618,0.499,0.499,0.499
4250000,0.612,0.612,0.612,0.492,0.492,0.492
4500000,0.606,0.606,0.606,0.485,0.485,0.485
4750000,0.6,0.6,0.6,0.478,0.478,0.478
5000000,0.595,0.595,0.595,0.472,0.472,0.472
5500000,0.585,0.585,0.585,0.461,0.461,0.461
6000000,0.576,0.576,0.576,0.451,0.451,0.451
6500000,0.569,0.569,0.569,0.442,0.442,0.442
7000000,0.561,0.561,0.561,0.434,0.434,0.434
7500000,0.555,0.555,0.555,0.426,0.426,0.426
8000000,0.548,0.548,0.548,0.419,0.419,0.419
8500000,0.543,0.543,0.543,0.413,0.413,0.413
9000000,0.537,0.537,0.537,0.407,0.407,0.407
9500000,0.532,0.532,0.532,0.402,0.402,0.402
10000000,0.528,0.528,0.528,0.397,0.397,0.397
9E+12,0.528,0.528,0.528,0.397,0.397,0.397
