Version,Benchmark Class,qtr,value
13,Aviation Liab,1,1.30E-04
13,Aviation Liab,2,1.18E-03
13,Aviation Liab,3,1.04E-02
13,Aviation Liab,4,5.18E-02
13,Aviation Liab,5,0.207320535
13,Aviation Liab,6,0.414640071
13,Aviation Liab,7,0.621960606
13,Aviation Liab,8,0.701070271
13,Aviation Liab,9,0.764564146
13,Aviation Liab,10,0.815117391
13,Aviation Liab,11,0.85532444
13,Aviation Liab,12,0.887400086
13,Aviation Liab,13,0.91312256
13,Aviation Liab,14,0.933885108
13,Aviation Liab,15,0.950761273
13,Aviation Liab,16,0.964579443
13,Aviation Liab,17,0.975973789
13,Aviation Liab,18,0.985435612
13,Aviation Liab,19,0.993345413
13,Aviation Liab,20,1
13,Aviation Liab,21,1
13,Aviation Liab,22,1
13,Aviation Liab,23,1
13,Aviation Liab,24,1
13,Aviation Liab,25,1
13,Aviation Liab,26,1
13,Aviation Liab,27,1
13,Aviation Liab,28,1
13,Aviation Liab,29,1
13,Aviation Liab,30,1
13,Aviation Liab,31,1
13,Aviation Liab,32,1
13,Aviation Liab,33,1
13,Aviation Liab,34,1
13,Aviation Liab,35,1
13,Aviation Liab,36,1
13,Aviation Liab,37,1
13,Aviation Liab,38,1
13,Aviation Liab,39,1
13,Aviation Liab,40,1
13,Aviation Liab,41,1
13,Aviation Liab,42,1
13,Aviation Liab,43,1
13,Aviation Liab,44,1
13,Aviation Liab,45,1
13,Aviation Liab,46,1
13,Aviation Liab,47,1
13,Aviation Liab,48,1
13,Aviation Liab,49,1
13,Aviation Liab,50,1
13,Aviation Liab,51,1
13,Aviation Liab,52,1
13,Aviation Liab,53,1
13,Aviation Liab,54,1
13,Aviation Liab,55,1
13,Aviation Liab,56,1
13,Aviation Liab,57,1
13,Aviation Liab,58,1
13,Aviation Liab,59,1
13,Aviation Liab,60,1
13,Aviation Liab,61,1
13,Aviation Liab,62,1
13,Aviation Liab,63,1
13,Aviation Liab,64,1
13,Aviation Liab,65,1
13,Aviation Liab,66,1
13,Aviation Liab,67,1
13,Aviation Liab,68,1
13,Aviation Liab,69,1
13,Aviation Liab,70,1
13,Aviation Liab,71,1
13,Aviation Liab,72,1
13,Aviation Liab,73,1
13,Aviation Liab,74,1
13,Aviation Liab,75,1
13,Aviation Liab,76,1
13,Aviation Liab,77,1
13,Aviation Liab,78,1
13,Aviation Liab,79,1
13,Aviation Liab,80,1
13,Aviation PD,1,0.033273
13,Aviation PD,2,0.071966
13,Aviation PD,3,0.116382
13,Aviation PD,4,0.289682
13,Aviation PD,5,0.502674
13,Aviation PD,6,0.713693
13,Aviation PD,7,0.815753
13,Aviation PD,8,0.897329
13,Aviation PD,9,0.954109
13,Aviation PD,10,0.999026
13,Aviation PD,11,1
13,Aviation PD,12,1
13,Aviation PD,13,1
13,Aviation PD,14,1
13,Aviation PD,15,1
13,Aviation PD,16,1
13,Aviation PD,17,1
13,Aviation PD,18,1
13,Aviation PD,19,1
13,Aviation PD,20,1
13,Aviation PD,21,1
13,Aviation PD,22,1
13,Aviation PD,23,1
13,Aviation PD,24,1
13,Aviation PD,25,1
13,Aviation PD,26,1
13,Aviation PD,27,1
13,Aviation PD,28,1
13,Aviation PD,29,1
13,Aviation PD,30,1
13,Aviation PD,31,1
13,Aviation PD,32,1
13,Aviation PD,33,1
13,Aviation PD,34,1
13,Aviation PD,35,1
13,Aviation PD,36,1
13,Aviation PD,37,1
13,Aviation PD,38,1
13,Aviation PD,39,1
13,Aviation PD,40,1
13,Aviation PD,41,1
13,Aviation PD,42,1
13,Aviation PD,43,1
13,Aviation PD,44,1
13,Aviation PD,45,1
13,Aviation PD,46,1
13,Aviation PD,47,1
13,Aviation PD,48,1
13,Aviation PD,49,1
13,Aviation PD,50,1
13,Aviation PD,51,1
13,Aviation PD,52,1
13,Aviation PD,53,1
13,Aviation PD,54,1
13,Aviation PD,55,1
13,Aviation PD,56,1
13,Aviation PD,57,1
13,Aviation PD,58,1
13,Aviation PD,59,1
13,Aviation PD,60,1
13,Aviation PD,61,1
13,Aviation PD,62,1
13,Aviation PD,63,1
13,Aviation PD,64,1
13,Aviation PD,65,1
13,Aviation PD,66,1
13,Aviation PD,67,1
13,Aviation PD,68,1
13,Aviation PD,69,1
13,Aviation PD,70,1
13,Aviation PD,71,1
13,Aviation PD,72,1
13,Aviation PD,73,1
13,Aviation PD,74,1
13,Aviation PD,75,1
13,Aviation PD,76,1
13,Aviation PD,77,1
13,Aviation PD,78,1
13,Aviation PD,79,1
13,Aviation PD,80,1
13,US Marine,1,0.014674
13,US Marine,2,0.025245
13,US Marine,3,0.080435
13,US Marine,4,0.263058
13,US Marine,5,0.469184
13,US Marine,6,0.613411
13,US Marine,7,0.726191
13,US Marine,8,0.807452
13,US Marine,9,0.867393
13,US Marine,10,0.899999
13,US Marine,11,0.922069
13,US Marine,12,0.938405
13,US Marine,13,0.950689
13,US Marine,14,0.960066
13,US Marine,15,0.967325
13,US Marine,16,0.980909
13,US Marine,17,0.991597
13,US Marine,18,1
13,US Marine,19,1
13,US Marine,20,1
13,US Marine,21,1
13,US Marine,22,1
13,US Marine,23,1
13,US Marine,24,1
13,US Marine,25,1
13,US Marine,26,1
13,US Marine,27,1
13,US Marine,28,1
13,US Marine,29,1
13,US Marine,30,1
13,US Marine,31,1
13,US Marine,32,1
13,US Marine,33,1
13,US Marine,34,1
13,US Marine,35,1
13,US Marine,36,1
13,US Marine,37,1
13,US Marine,38,1
13,US Marine,39,1
13,US Marine,40,1
13,US Marine,41,1
13,US Marine,42,1
13,US Marine,43,1
13,US Marine,44,1
13,US Marine,45,1
13,US Marine,46,1
13,US Marine,47,1
13,US Marine,48,1
13,US Marine,49,1
13,US Marine,50,1
13,US Marine,51,1
13,US Marine,52,1
13,US Marine,53,1
13,US Marine,54,1
13,US Marine,55,1
13,US Marine,56,1
13,US Marine,57,1
13,US Marine,58,1
13,US Marine,59,1
13,US Marine,60,1
13,US Marine,61,1
13,US Marine,62,1
13,US Marine,63,1
13,US Marine,64,1
13,US Marine,65,1
13,US Marine,66,1
13,US Marine,67,1
13,US Marine,68,1
13,US Marine,69,1
13,US Marine,70,1
13,US Marine,71,1
13,US Marine,72,1
13,US Marine,73,1
13,US Marine,74,1
13,US Marine,75,1
13,US Marine,76,1
13,US Marine,77,1
13,US Marine,78,1
13,US Marine,79,1
13,US Marine,80,1
13,Cargo,1,0.00062
13,Cargo,2,0.01439
13,Cargo,3,0.12926
13,Cargo,4,0.235676
13,Cargo,5,0.396145
13,Cargo,6,0.568518
13,Cargo,7,0.717091
13,Cargo,8,0.829141
13,Cargo,9,0.895526
13,Cargo,10,0.918519
13,Cargo,11,0.944673
13,Cargo,12,0.964247
13,Cargo,13,0.979194
13,Cargo,14,0.990816
13,Cargo,15,1
13,Cargo,16,1
13,Cargo,17,1
13,Cargo,18,1
13,Cargo,19,1
13,Cargo,20,1
13,Cargo,21,1
13,Cargo,22,1
13,Cargo,23,1
13,Cargo,24,1
13,Cargo,25,1
13,Cargo,26,1
13,Cargo,27,1
13,Cargo,28,1
13,Cargo,29,1
13,Cargo,30,1
13,Cargo,31,1
13,Cargo,32,1
13,Cargo,33,1
13,Cargo,34,1
13,Cargo,35,1
13,Cargo,36,1
13,Cargo,37,1
13,Cargo,38,1
13,Cargo,39,1
13,Cargo,40,1
13,Cargo,41,1
13,Cargo,42,1
13,Cargo,43,1
13,Cargo,44,1
13,Cargo,45,1
13,Cargo,46,1
13,Cargo,47,1
13,Cargo,48,1
13,Cargo,49,1
13,Cargo,50,1
13,Cargo,51,1
13,Cargo,52,1
13,Cargo,53,1
13,Cargo,54,1
13,Cargo,55,1
13,Cargo,56,1
13,Cargo,57,1
13,Cargo,58,1
13,Cargo,59,1
13,Cargo,60,1
13,Cargo,61,1
13,Cargo,62,1
13,Cargo,63,1
13,Cargo,64,1
13,Cargo,65,1
13,Cargo,66,1
13,Cargo,67,1
13,Cargo,68,1
13,Cargo,69,1
13,Cargo,70,1
13,Cargo,71,1
13,Cargo,72,1
13,Cargo,73,1
13,Cargo,74,1
13,Cargo,75,1
13,Cargo,76,1
13,Cargo,77,1
13,Cargo,78,1
13,Cargo,79,1
13,Cargo,80,1
13,Downhole,1,0.001364
13,Downhole,2,0.033718
13,Downhole,3,0.125575
13,Downhole,4,0.253616
13,Downhole,5,0.499151
13,Downhole,6,0.654129
13,Downhole,7,0.880918
13,Downhole,8,1
13,Downhole,9,1
13,Downhole,10,1
13,Downhole,11,1
13,Downhole,12,1
13,Downhole,13,1
13,Downhole,14,1
13,Downhole,15,1
13,Downhole,16,1
13,Downhole,17,1
13,Downhole,18,1
13,Downhole,19,1
13,Downhole,20,1
13,Downhole,21,1
13,Downhole,22,1
13,Downhole,23,1
13,Downhole,24,1
13,Downhole,25,1
13,Downhole,26,1
13,Downhole,27,1
13,Downhole,28,1
13,Downhole,29,1
13,Downhole,30,1
13,Downhole,31,1
13,Downhole,32,1
13,Downhole,33,1
13,Downhole,34,1
13,Downhole,35,1
13,Downhole,36,1
13,Downhole,37,1
13,Downhole,38,1
13,Downhole,39,1
13,Downhole,40,1
13,Downhole,41,1
13,Downhole,42,1
13,Downhole,43,1
13,Downhole,44,1
13,Downhole,45,1
13,Downhole,46,1
13,Downhole,47,1
13,Downhole,48,1
13,Downhole,49,1
13,Downhole,50,1
13,Downhole,51,1
13,Downhole,52,1
13,Downhole,53,1
13,Downhole,54,1
13,Downhole,55,1
13,Downhole,56,1
13,Downhole,57,1
13,Downhole,58,1
13,Downhole,59,1
13,Downhole,60,1
13,Downhole,61,1
13,Downhole,62,1
13,Downhole,63,1
13,Downhole,64,1
13,Downhole,65,1
13,Downhole,66,1
13,Downhole,67,1
13,Downhole,68,1
13,Downhole,69,1
13,Downhole,70,1
13,Downhole,71,1
13,Downhole,72,1
13,Downhole,73,1
13,Downhole,74,1
13,Downhole,75,1
13,Downhole,76,1
13,Downhole,77,1
13,Downhole,78,1
13,Downhole,79,1
13,Downhole,80,1
13,Energy Liab and Cas,1,0.053136
13,Energy Liab and Cas,2,0.207989
