Years,0,1000000,2000000,3000000,4000000,5000000,10000000,100000000
1.00,0.90,0.90,0.90,1.00,1.00,1.00,1.00,1.00
2.00,0.90,0.90,0.90,1.00,1.00,1.00,1.00,1.00
3.00,0.90,0.90,0.90,1.00,1.00,1.00,1.00,1.00
4.00,0.90,0.90,0.90,1.00,1.00,1.00,1.00,1.00
5.00,0.90,0.90,0.90,1.00,1.00,1.00,1.00,1.00
6.00,0.90,0.90,0.90,1.00,1.00,1.00,1.00,1.00
7.00,0.90,0.90,0.90,1.00,1.00,1.00,1.00,1.00
8.00,0.90,0.90,0.90,1.00,1.00,1.00,1.00,1.00
9.00,0.90,0.90,0.90,1.00,1.00,1.00,1.00,1.00
10.00,0.90,0.90,0.90,1.00,1.00,1.00,1.00,1.00
11.00,0.90,0.90,0.90,1.00,1.00,1.00,1.00,1.00
12.00,0.90,0.90,0.90,1.00,1.00,1.00,1.00,1.00
13.00,0.90,0.90,0.90,1.00,1.00,1.00,1.00,1.00
14.00,0.90,0.90,0.90,1.00,1.00,1.00,1.00,1.00
15.00,0.90,0.90,0.90,1.00,1.00,1.00,1.00,1.00
16.00,0.90,0.90,0.90,1.00,1.00,1.00,1.00,1.00
17.00,0.90,0.90,0.90,1.00,1.00,1.00,1.00,1.00
18.00,0.90,0.90,0.90,1.00,1.00,1.00,1.00,1.00
19.00,0.90,0.90,0.90,1.00,1.00,1.00,1.00,1.00
20.00,0.90,0.90,0.90,1.00,1.00,1.00,1.00,1.00
