State,CA_TN Buildings,CA_TN Contents,CA_TN BI,CA_HA Buildings,CA_HA Contents,CA_HA BI,CA_WS Rate All,CA_FL Rate,CA_WF Rate,CA_FL Rel,CA_WF Rel,CA_TN Rel,CA_HA Rel
NORTHERN TERRITORYNA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
QUEENSLANDNA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
SOUTH AUSTRALIANA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
TASMANIANA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
VICTORIANA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
WESTERN AUSTRALIANA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
LONDONNA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
SOUTH WESTNA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
SOUTH EASTNA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
WEST MIDLANDSNA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
EAST MIDLANDSNA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
EAST ANGLIANA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
NORTH WESTNA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
NORTH EASTNA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
