State Code,Occ.0,Occ.1,Occ.2,Occ.3,Occ.4,Occ.5,Occ.6,Occ.7,Occ.8,Occ.9,Occ.10,Occ.11,Occ.12,Occ.13,Occ.14,Occ.15,Occ.16,Occ.17,Occ.18,Occ.19,Occ.20,Occ.21,Occ.22,Occ.23,Occ.24,Occ.25,Occ.26,Occ.27,Occ.28,Occ.29,Occ.30,Occ.31,Occ.32,Occ.33,Occ.34,Occ.35,Occ.36,Occ.37,Occ.38,Occ.39,Occ.40,Occ.41,Occ.42,Occ.43,Occ.44,Occ.47,Occ.48,Occ.49,Occ.50,Occ.51,Occ.52,Occ.53,Occ.54
GA,0.8304807266,0.7434747988,1.2697997991,1.3217349620,1.2697997991,0.0416569991,0.0416569991,-0.1666608090,-0.1666608090,-0.1666608090,0.0416569991,-0.8766347383,-0.1083024952,-0.1083024952,-0.1083024952,-0.1083024952,-0.1083024952,-0.1083024952,-0.1083024952,-0.1083024952,6.0472087754,-0.1083024952,1.5092256375,-0.1666608090,-0.1666608090,-0.3623835263,-0.1083024952,-0.1083024952,-0.1083024952,-0.1083024952,-0.1083024952,-0.1083024952,-0.1083024952,-0.1083024952,-0.1083024952,-0.2420849338,-0.1083024952,0.0000000000,-0.1083024952,1.0944752885,1.0944752885,1.0944752885,1.3958932241,1.1436735873,2.4298133790,1.6699812201,0.0416569991,-0.1666608090,-0.1666608090,1.3217349620,1.3217349620,0.0000000000,-0.1666608090
HI,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
IA,0.7905346371,0.8076184498,1.3694381481,1.4875799221,1.3694381481,0.0416672012,0.0416672012,-0.1666625310,-0.1666625310,-0.1666625310,0.0416672012,-0.8619511103,-0.0116121920,-0.0116121920,-0.0116121920,-0.0116121920,-0.0116121920,-0.0116121920,-0.0116121920,-0.0116121920,6.5918811431,-0.0116121920,1.7341637848,-0.1666625310,-0.1666625310,-0.2858719050,-0.0116121920,-0.0116121920,-0.0116121920,-0.0116121920,-0.0116121920,-0.0116121920,-0.0116121920,-0.0116121920,-0.0116121920,-0.1598653327,-0.0116121920,0.0000000000,-0.0116121920,1.1711491371,1.1711491371,1.1711491371,1.5010736729,1.2378027470,2.6748401923,1.8607242075,0.0416672012,-0.1666625310,-0.1666625310,1.4875799221,1.4875799221,0.0000000000,-0.1666625310
ID,1.0503896513,1.2193489425,1.8453493751,1.7363488025,1.8453493751,0.0416656554,0.0416656554,-0.1666596373,-0.1666596373,-0.1666596373,0.0416656554,-0.8706004569,-0.0389570228,-0.0389570228,-0.0389570228,-0.0389570228,-0.0389570228,-0.0389570228,-0.0389570228,-0.0389570228,7.1187406182,-0.0389570228,1.8329004970,-0.1666596373,-0.1666596373,-0.3327904849,-0.0389570228,-0.0389570228,-0.0389570228,-0.0389570228,-0.0389570228,-0.0389570228,-0.0389570228,-0.0389570228,-0.0389570228,-0.1831042282,-0.0389570228,0.0000000000,-0.0389570228,1.6670910082,1.6670910082,1.6670910082,2.0034001875,1.6872592061,3.0423445792,2.1468252167,0.0416656554,-0.1666596373,-0.1666596373,1.7363488025,1.7363488025,0.0000000000,-0.1666596373
IL,0.9193416769,0.8721786660,1.4362319133,1.4875841084,1.4362319133,0.0416667259,0.0416667259,-0.1666616413,-0.1666616413,-0.1666616413,0.0416667259,-0.8682261181,-0.0468853294,-0.0468853294,-0.0468853294,-0.0468853294,-0.0468853294,-0.0468853294,-0.0468853294,-0.0468853294,6.5325294370,-0.0468853294,1.6853372914,-0.1666616413,-0.1666616413,-0.3189421937,-0.0468853294,-0.0468853294,-0.0468853294,-0.0468853294,-0.0468853294,-0.0468853294,-0.0468853294,-0.0468853294,-0.0468853294,-0.1898464400,-0.0468853294,0.0000000000,-0.0468853294,1.2521816729,1.2521816729,1.2521816729,1.5715781837,1.3008857470,2.6748481007,1.8607311135,0.0416667259,-0.1666616413,-0.1666616413,1.4875841084,1.4875841084,0.0000000000,-0.1666616413
IN,0.9033990625,0.8349225757,1.3976868975,1.4875816926,1.3976868975,0.0416670002,0.0416670002,-0.1666621547,-0.1666621547,-0.1666621547,0.0416670002,-0.8646049676,-0.0265300817,-0.0265300817,-0.0265300817,-0.0265300817,-0.0265300817,-0.0265300817,-0.0265300817,-0.0265300817,6.5667798261,-0.0265300817,1.7135138428,-0.1666621547,-0.1666621547,-0.2998581550,-0.0265300817,-0.0265300817,-0.0265300817,-0.0265300817,-0.0265300817,-0.0265300817,-0.0265300817,-0.0265300817,-0.0265300817,-0.1725450908,-0.0265300817,0.0000000000,-0.0265300817,1.2067381367,1.2067381367,1.2067381367,1.5308917892,1.2644821213,2.6748435370,1.8607271282,0.0416670002,-0.1666621547,-0.1666621547,1.4875816926,1.4875816926,0.0000000000,-0.1666621547
KS,1.0833267873,1.0723544014,1.7431949235,1.9850869257,1.7431949235,0.0416677949,0.0416677949,-0.1666636426,-0.1666636426,-0.1666636426,0.0416677949,-0.8249319364,0.2389512664,0.2389512664,0.2389512664,0.2389512664,0.2389512664,0.2389512664,0.2389512664,0.2389512664,8.1592407523,0.2389512664,2.3541963855,-0.1666636426,-0.1666636426,-0.0934677842,0.2389512664,0.2389512664,0.2389512664,0.2389512664,0.2389512664,0.2389512664,0.2389512664,0.2389512664,0.2389512664,0.0530988505,0.2389512664,0.0000000000,0.2389512664,1.4890631799,1.4890631799,1.4890631799,1.8955916721,1.5907848493,3.4097907678,2.4328614395,0.0416677949,-0.1666636426,-0.1666636426,1.9850869257,1.9850869257,0.0000000000,-0.1666636426
KY,1.0009619562,0.9011801015,1.4662366931,1.4875859890,1.4662366931,0.0416665124,0.0416665124,-0.1666612416,-0.1666612416,-0.1666612416,0.0416665124,-0.8710449475,-0.0627305617,-0.0627305617,-0.0627305617,-0.0627305617,-0.0627305617,-0.0627305617,-0.0627305617,-0.0627305617,6.5058677438,-0.0627305617,1.6634036846,-0.1666612416,-0.1666612416,-0.3337978726,-0.0627305617,-0.0627305617,-0.0627305617,-0.0627305617,-0.0627305617,-0.0627305617,-0.0627305617,-0.0627305617,-0.0627305617,-0.2033144114,-0.0627305617,0.0000000000,-0.0627305617,1.2853748202,1.2853748202,1.2853748202,1.6032498872,1.3292235944,2.6748516533,1.8607342159,0.0416665124,-0.1666612416,-0.1666612416,1.4875859890,1.4875859890,0.0000000000,-0.1666612416
LA,0.6682337389,0.6391925428,1.1619058501,1.3217321110,1.1619058501,0.0416612333,0.0416612333,-0.1666631012,-0.1666631012,-0.1666631012,0.0416612333,-0.8664985232,-0.0513260869,-0.0513260869,-0.0513260869,-0.0513260869,-0.0513260869,-0.0513260869,-0.0513260869,-0.0513260869,6.1431027628,-0.0513260869,1.5881072924,-0.1666631012,-0.1666631012,-0.3089538341,-0.0513260869,-0.0513260869,-0.0513260869,-0.0513260869,-0.0513260869,-0.0513260869,-0.0513260869,-0.0513260869,-0.0513260869,-0.1936438162,-0.0513260869,0.0000000000,-0.0513260869,0.9706537918,0.9706537918,0.9706537918,1.2820085931,1.0417848796,2.4298179421,1.6699834845,0.0416612333,-0.1666631012,-0.1666631012,1.3217321110,1.3217321110,0.0000000000,-0.1666631012
MA,0.7827037927,0.8557262667,1.3604526012,1.1948317994,1.3604526012,0.0416428723,0.0416428723,-0.1666857107,-0.1666857107,-0.1666857107,0.0416428723,-0.9035552133,-0.2704417313,-0.2704417313,-0.2704417313,-0.2704417313,-0.2704417313,-0.2704417313,-0.2704417313,-0.2704417313,5.4821735346,-0.2704417313,1.2151242675,-0.1666857107,-0.1666857107,-0.5035110359,-0.2704417313,-0.2704417313,-0.2704417313,-0.2704417313,-0.2704417313,-0.2704417313,-0.2704417313,-0.2704417313,-0.2704417313,-0.3798669496,-0.2704417313,0.0000000000,-0.2704417313,1.2374443939,1.2374443939,1.2374443939,1.4916169392,1.2293442142,2.2423989569,1.5240739786,0.0416428723,-0.1666857107,-0.1666857107,1.1948317994,1.1948317994,0.0000000000,-0.1666857107
