State Code,Occ.0,Occ.1,Occ.2,Occ.3,Occ.4,Occ.5,Occ.6,Occ.7,Occ.8,Occ.9,Occ.10,Occ.11,Occ.12,Occ.13,Occ.14,Occ.15,Occ.16,Occ.17,Occ.18,Occ.19,Occ.20,Occ.21,Occ.22,Occ.23,Occ.24,Occ.25,Occ.26,Occ.27,Occ.28,Occ.29,Occ.30,Occ.31,Occ.32,Occ.33,Occ.34,Occ.35,Occ.36,Occ.37,Occ.38,Occ.39,Occ.40,Occ.41,Occ.42,Occ.43,Occ.44,Occ.47,Occ.48,Occ.49,Occ.50,Occ.51,Occ.52,Occ.53,Occ.54
NH,0.9203383229,0.8508140680,1.3553706675,1.1948325906,1.3553706675,0.0416431180,0.0416431180,-0.1666855139,-0.1666855139,-0.1666855139,0.0416431180,-0.9030823093,-0.2677571418,-0.2677571418,-0.2677571418,-0.2677571418,-0.2677571418,-0.2677571418,-0.2677571418,-0.2677571418,5.4866929132,-0.2677571418,1.2188409179,-0.1666855139,-0.1666855139,-0.5009943359,-0.2677571418,-0.2677571418,-0.2677571418,-0.2677571418,-0.2677571418,-0.2677571418,-0.2677571418,-0.2677571418,-0.2677571418,-0.3775851377,-0.2677571418,0.0000000000,-0.2677571418,1.2270803994,1.2270803994,1.2270803994,1.4862523628,1.2245442822,2.2423997824,1.5240747221,0.0416431180,-0.1666855139,-0.1666855139,1.1948325906,1.1948325906,0.0000000000,-0.1666855139
NJ,0.8686232620,0.8657567271,1.3708296517,1.1948301838,1.3708296517,0.0416423706,0.0416423706,-0.1666861125,-0.1666861125,-0.1666861125,0.0416423706,-0.9045373158,-0.2759235266,-0.2759235266,-0.2759235266,-0.2759235266,-0.2759235266,-0.2759235266,-0.2759235266,-0.2759235266,5.4729451932,-0.2759235266,1.2075350562,-0.1666861125,-0.1666861125,-0.5086500095,-0.2759235266,-0.2759235266,-0.2759235266,-0.2759235266,-0.2759235266,-0.2759235266,-0.2759235266,-0.2759235266,-0.2759235266,-0.3845262937,-0.2759235266,0.0000000000,-0.2759235266,1.2426815939,1.2426815939,1.2426815939,1.5025711318,1.2391454317,2.2423972712,1.5240724604,0.0416423706,-0.1666861125,-0.1666861125,1.1948301838,1.1948301838,0.0000000000,-0.1666861125
NM,0.8891471820,0.9820430711,1.5998296355,1.7363354824,1.5998296355,0.0416672436,0.0416672436,-0.1666626104,-0.1666626104,-0.1666626104,0.0416672436,-0.8475283744,0.0906939140,0.0906939140,0.0906939140,0.0906939140,0.0906939140,0.0906939140,0.0906939140,0.0906939140,7.3368984250,0.0906939140,2.0123739604,-0.1666626104,-0.1666626104,-0.2112230863,0.0906939140,0.0906939140,0.0906939140,0.0906939140,0.0906939140,0.0906939140,0.0906939140,0.0906939140,0.0906939140,-0.0729068060,0.0906939140,0.0000000000,0.0906939140,1.3826555704,1.3826555704,1.3826555704,1.7442532408,1.4553878305,3.0423193489,2.1467978956,0.0416672436,-0.1666626104,-0.1666626104,1.7363354824,1.7363354824,0.0000000000,-0.1666626104
NV,1.1100419705,1.4228917753,2.0559374362,1.7363602274,2.0559374362,0.0416642932,0.0416642932,-0.1666570872,-0.1666570872,-0.1666570872,0.0416642932,-0.8903867896,-0.1501616837,-0.1501616837,-0.1501616837,-0.1501616837,-0.1501616837,-0.1501616837,-0.1501616837,-0.1501616837,6.9316215311,-0.1501616837,1.6789618821,-0.1666570872,-0.1666570872,-0.4370617163,-0.1501616837,-0.1501616837,-0.1501616837,-0.1501616837,-0.1501616837,-0.1501616837,-0.1501616837,-0.1501616837,-0.1501616837,-0.2776231517,-0.1501616837,0.0000000000,-0.1501616837,1.9139286193,1.9139286193,1.9139286193,2.2256766248,1.8861407440,3.0423662198,2.1468486507,0.0416642932,-0.1666570872,-0.1666570872,1.7363602274,1.7363602274,0.0000000000,-0.1666570872
NY,0.6892469140,0.8151293106,1.3184528676,1.1948383384,1.3184528676,0.0416449029,0.0416449029,-0.1666840845,-0.1666840845,-0.1666840845,0.0416449029,-0.8996023320,-0.2482548929,-0.2482548929,-0.2482548929,-0.2482548929,-0.2482548929,-0.2482548929,-0.2482548929,-0.2482548929,5.5195240211,-0.2482548929,1.2458405923,-0.1666840845,-0.1666840845,-0.4827117227,-0.2482548929,-0.2482548929,-0.2482548929,-0.2482548929,-0.2482548929,-0.2482548929,-0.2482548929,-0.2482548929,-0.2482548929,-0.3610088733,-0.2482548929,0.0000000000,-0.2482548929,1.1936295389,1.1936295389,1.1936295389,1.4472812993,1.1896750883,2.2424057794,1.5240801235,0.0416449029,-0.1666840845,-0.1666840845,1.1948383384,1.1948383384,0.0000000000,-0.1666840845
OH,0.9016354023,0.8921430353,1.4568869773,1.4875854030,1.4568869773,0.0416665789,0.0416665789,-0.1666613662,-0.1666613662,-0.1666613662,0.0416665789,-0.8701665833,-0.0577930677,-0.0577930677,-0.0577930677,-0.0577930677,-0.0577930677,-0.0577930677,-0.0577930677,-0.0577930677,6.5141757286,-0.0577930677,1.6702383620,-0.1666613662,-0.1666613662,-0.3291687310,-0.0577930677,-0.0577930677,-0.0577930677,-0.0577930677,-0.0577930677,-0.0577930677,-0.0577930677,-0.0577930677,-0.0577930677,-0.1991176899,-0.0577930677,0.0000000000,-0.0577930677,1.2753855602,1.2753855602,1.2753855602,1.5933807454,1.3203933073,2.6748505463,1.8607332491,0.0416665789,-0.1666613662,-0.1666613662,1.4875854030,1.4875854030,0.0000000000,-0.1666613662
OK,1.0522211428,1.1234115500,1.7960200343,1.9850894485,1.7960200343,0.0416674817,0.0416674817,-0.1666630562,-0.1666630562,-0.1666630562,0.0416674817,-0.8298946713,0.2110572872,0.2110572872,0.2110572872,0.2110572872,0.2110572872,0.2110572872,0.2110572872,0.2110572872,8.1016937896,0.2110572872,2.3155821784,-0.1666630562,-0.1666630562,-0.1196212678,0.2110572872,0.2110572872,0.2110572872,0.2110572872,0.2110572872,0.2110572872,0.2110572872,0.2110572872,0.2110572872,0.0293862385,0.2110572872,0.0000000000,0.2110572872,1.5512010040,1.5512010040,1.5512010040,1.9513506432,1.6406721616,3.4097954785,2.4328676667,0.0416674817,-0.1666630562,-0.1666630562,1.9850894485,1.9850894485,0.0000000000,-0.1666630562
OR,1.0959219724,1.2942656747,1.9228592003,1.7363530076,1.9228592003,0.0416651540,0.0416651540,-0.1666586987,-0.1666586987,-0.1666586987,0.0416651540,-0.8778878577,-0.0798874240,-0.0798874240,-0.0798874240,-0.0798874240,-0.0798874240,-0.0798874240,-0.0798874240,-0.0798874240,7.0498688709,-0.0798874240,1.7762412778,-0.1666586987,-0.1666586987,-0.3711689380,-0.0798874240,-0.0798874240,-0.0798874240,-0.0798874240,-0.0798874240,-0.0798874240,-0.0798874240,-0.0798874240,-0.0798874240,-0.2178932148,-0.0798874240,0.0000000000,-0.0798874240,1.7567992431,1.7567992431,1.7567992431,2.0852120799,1.7604602848,3.0423525443,2.1468338419,0.0416651540,-0.1666586987,-0.1666586987,1.7363530076,1.7363530076,0.0000000000,-0.1666586987
PA,0.8770086473,0.7974246489,1.3001364433,1.1948411902,1.3001364433,0.0416457885,0.0416457885,-0.1666833753,-0.1666833753,-0.1666833753,0.0416457885,-0.8978823189,-0.2385790328,-0.2385790328,-0.2385790328,-0.2385790328,-0.2385790328,-0.2385790328,-0.2385790328,-0.2385790328,5.5358128710,-0.2385790328,1.2592362306,-0.1666833753,-0.1666833753,-0.4736409737,-0.2385790328,-0.2385790328,-0.2385790328,-0.2385790328,-0.2385790328,-0.2385790328,-0.2385790328,-0.2385790328,-0.2385790328,-0.3527847134,-0.2385790328,0.0000000000,-0.2385790328,1.1602669292,1.1602669292,1.1602669292,1.4279461674,1.1723750608,2.2424087547,1.5240828033,0.0416457885,-0.1666833753,-0.1666833753,1.1948411902,1.1948411902,0.0000000000,-0.1666833753
RI,0.7569887341,0.8464795300,1.3508863550,1.1948332888,1.3508863550,0.0416433348,0.0416433348,-0.1666853403,-0.1666853403,-0.1666853403,0.0416433348,-0.9026824346,-0.2653882526,-0.2653882526,-0.2653882526,-0.2653882526,-0.2653882526,-0.2653882526,-0.2653882526,-0.2653882526,5.4906808255,-0.2653882526,1.2221205006,-0.1666853403,-0.1666853403,-0.4987735927,-0.2653882526,-0.2653882526,-0.2653882526,-0.2653882526,-0.2653882526,-0.2653882526,-0.2653882526,-0.2653882526,-0.2653882526,-0.3755716605,-0.2653882526,0.0000000000,-0.2653882526,1.2258555752,1.2258555752,1.2258555752,1.4815186454,1.2203088087,2.2424005108,1.5240753782,0.0416433348,-0.1666853403,-0.1666853403,1.1948332888,1.1948332888,0.0000000000,-0.1666853403
SC,0.7109638989,0.5633144566,1.0453553548,1.1321897131,1.0453553548,0.0416744833,0.0416744833,-0.1666662069,-0.1666662069,-0.1666662069,0.0416744833,-0.8830316137,-0.1604401905,-0.1604401905,-0.1604401905,-0.1604401905,-0.1604401905,-0.1604401905,-0.1604401905,-0.1604401905,5.5229711786,-0.1604401905,1.3329776587,-0.1666662069,-0.1666662069,-0.3950475173,-0.1604401905,-0.1604401905,-0.1604401905,-0.1604401905,-0.1604401905,-0.1604401905,-0.1604401905,-0.1604401905,-0.1604401905,-0.2863707848,-0.1604401905,0.0000000000,-0.1604401905,0.8777460327,0.8777460327,0.8777460327,1.1589666879,0.9317121085,2.1498061167,1.4519975359,0.0416744833,-0.1666662069,-0.1666662069,1.1321897131,1.1321897131,0.0000000000,-0.1666662069
SD,1.1040546385,1.1007440224,1.7725675954,1.9850883284,1.7725675954,0.0416676208,0.0416676208,-0.1666633165,-0.1666633165,-0.1666633165,0.0416676208,-0.8276913965,0.2234412053,0.2234412053,0.2234412053,0.2234412053,0.2234412053,0.2234412053,0.2234412053,0.2234412053,8.1331422132,0.2234412053,2.3327254899,-0.1666633165,-0.1666633165,-0.1080100668,0.2234412053,0.2234412053,0.2234412053,0.2234412053,0.2234412053,0.2234412053,0.2234412053,0.2234412053,0.2234412053,0.0399137807,0.2234412053,0.0000000000,0.2234412053,1.5231915791,1.5231915791,1.5231915791,1.9265956764,1.6185239990,3.4097933871,2.4328649020,0.0416676208,-0.1666633165,-0.1666633165,1.9850883284,1.9850883284,0.0000000000,-0.1666633165
TN,0.8568638251,0.8230509273,1.3854045332,1.4875809228,1.3854045332,0.0416670876,0.0416670876,-0.1666623183,-0.1666623183,-0.1666623183,0.0416670876,-0.8634510991,-0.0200438846,-0.0200438846,-0.0200438846,-0.0200438846,-0.0200438846,-0.0200438846,-0.0200438846,-0.0200438846,6.5776937082,-0.0200438846,1.7224922972,-0.1666623183,-0.1666623183,-0.2937770286,-0.0200438846,-0.0200438846,-0.0200438846,-0.0200438846,-0.0200438846,-0.0200438846,-0.0200438846,-0.0200438846,-0.0200438846,-0.1670320182,-0.0200438846,0.0000000000,-0.0200438846,1.1926042522,1.1926042522,1.1926042522,1.5179270749,1.2528821107,2.6748420828,1.8607258583,0.0416670876,-0.1666623183,-0.1666623183,1.4875809228,1.4875809228,0.0000000000,-0.1666623183
TX,0.7801115098,0.8279587837,1.4181074717,1.6251814727,1.4181074717,0.0416646537,0.0416646537,-0.1666635666,-0.1666635666,-0.1666635666,0.0416646537,-0.8465714395,0.0865866094,0.0865866094,0.0865866094,0.0865866094,0.0865866094,0.0865866094,0.0865866094,0.0865866094,7.0738272520,0.0865866094,1.9456495090,-0.1666635666,-0.1666635666,-0.2055731995,0.0865866094,0.0865866094,0.0865866094,0.0865866094,0.0865866094,0.0865866094,0.0865866094,0.0865866094,0.0865866094,-0.0764137965,0.0865866094,0.0000000000,0.0865866094,1.1963543576,1.1963543576,1.1963543576,1.5524440408,1.2837562961,2.8781040191,2.0189599906,0.0416646537,-0.1666635666,-0.1666635666,1.6251814727,1.6251814727,0.0000000000,-0.1666635666
UT,1.1219089858,1.3067068640,1.9357310165,1.7363537059,1.9357310165,0.0416650708,0.0416650708,-0.1666585429,-0.1666585429,-0.1666585429,0.0416650708,-0.8790866124,-0.0866846087,-0.0866846087,-0.0866846087,-0.0866846087,-0.0866846087,-0.0866846087,-0.0866846087,-0.0866846087,7.0384315535,-0.0866846087,1.7668320570,-0.1666585429,-0.1666585429,-0.3775423287,-0.0866846087,-0.0866846087,-0.0866846087,-0.0866846087,-0.0866846087,-0.0866846087,-0.0866846087,-0.0866846087,-0.0866846087,-0.2236705139,-0.0866846087,0.0000000000,-0.0866846087,1.7710244713,1.7710244713,1.7710244713,2.0987983270,1.7726165608,3.0423538670,2.1468352742,0.0416650708,-0.1666585429,-0.1666585429,1.7363537059,1.7363537059,0.0000000000,-0.1666585429
VA,0.7879155584,0.7035034622,1.2029699265,1.1948563183,1.2029699265,0.0416504862,0.0416504862,-0.1666796130,-0.1666796130,-0.1666796130,0.0416504862,-0.8887493472,-0.1872497120,-0.1872497120,-0.1872497120,-0.1872497120,-0.1872497120,-0.1872497120,-0.1872497120,-0.1872497120,5.6222233399,-0.1872497120,1.3302985454,-0.1666796130,-0.1666796130,-0.4255216968,-0.1872497120,-0.1872497120,-0.1872497120,-0.1872497120,-0.1872497120,-0.1872497120,-0.1872497120,-0.1872497120,-0.1872497120,-0.3091564941,-0.1872497120,0.0000000000,-0.1872497120,1.0479751013,1.0479751013,1.0479751013,1.3253755240,1.0806004121,2.2424245386,1.5240970194,0.0416504862,-0.1666796130,-0.1666796130,1.1948563183,1.1948563183,0.0000000000,-0.1666796130
VT,0.7901241814,0.6933458299,1.1924613099,1.1948579544,1.1924613099,0.0416509943,0.0416509943,-0.1666792061,-0.1666792061,-0.1666792061,0.0416509943,-0.8877618655,-0.1816984154,-0.1816984154,-0.1816984154,-0.1816984154,-0.1816984154,-0.1816984154,-0.1816984154,-0.1816984154,5.6315686835,-0.1816984154,1.3379839770,-0.1666792061,-0.1666792061,-0.4203175684,-0.1816984154,-0.1816984154,-0.1816984154,-0.1816984154,-0.1816984154,-0.1816984154,-0.1816984154,-0.1816984154,-0.1816984154,-0.3044380762,-0.1816984154,0.0000000000,-0.1816984154,1.0392560890,1.0392560890,1.0392560890,1.3142824479,1.0706749292,2.2424262456,1.5240985569,0.0416509943,-0.1666792061,-0.1666792061,1.1948579544,1.1948579544,0.0000000000,-0.1666792061
WA,1.0702109016,1.2907382180,1.9192096478,1.7363528096,1.9192096478,0.0416651776,0.0416651776,-0.1666587429,-0.1666587429,-0.1666587429,0.0416651776,-0.8775427416,-0.0779602148,-0.0779602148,-0.0779602148,-0.0779602148,-0.0779602148,-0.0779602148,-0.0779602148,-0.0779602148,7.0531116993,-0.0779602148,1.7789090788,-0.1666587429,-0.1666587429,-0.3693618874,-0.0779602148,-0.0779602148,-0.0779602148,-0.0779602148,-0.0779602148,-0.0779602148,-0.0779602148,-0.0779602148,-0.0779602148,-0.2162551743,-0.0779602148,0.0000000000,-0.0779602148,1.7526914528,1.7526914528,1.7526914528,2.0813599644,1.7570136097,3.0423521692,2.1468334358,0.0416651776,-0.1666587429,-0.1666587429,1.7363528096,1.7363528096,0.0000000000,-0.1666587429
WI,0.9686584663,0.9079578597,1.4732489372,1.4875864285,1.4732489372,0.0416664625,0.0416664625,-0.1666611482,-0.1666611482,-0.1666611482,0.0416664625,-0.8717037199,-0.0664336595,-0.0664336595,-0.0664336595,-0.0664336595,-0.0664336595,-0.0664336595,-0.0664336595,-0.0664336595,6.4996367932,-0.0664336595,1.6582777078,-0.1666611482,-0.1666611482,-0.3372697077,-0.0664336595,-0.0664336595,-0.0664336595,-0.0664336595,-0.0664336595,-0.0664336595,-0.0664336595,-0.0664336595,-0.0664336595,-0.2064619334,-0.0664336595,0.0000000000,-0.0664336595,1.2940844256,1.2940844256,1.2940844256,1.6106516984,1.3358462693,2.6748524835,1.8607349409,0.0416664625,-0.1666611482,-0.1666611482,1.4875864285,1.4875864285,0.0000000000,-0.1666611482
WV,0.8477540237,0.7184751998,1.2184589940,1.1948539067,1.2184589940,0.0416497373,0.0416497373,-0.1666802128,-0.1666802128,-0.1666802128,0.0416497373,-0.8902050047,-0.1954319885,-0.1954319885,-0.1954319885,-0.1954319885,-0.1954319885,-0.1954319885,-0.1954319885,-0.1954319885,5.6084488667,-0.1954319885,1.3189706824,-0.1666802128,-0.1666802128,-0.4331922684,-0.1954319885,-0.1954319885,-0.1954319885,-0.1954319885,-0.1954319885,-0.1954319885,-0.1954319885,-0.1954319885,-0.1954319885,-0.3161111576,-0.1954319885,0.0000000000,-0.1954319885,1.0655546174,1.0655546174,1.0655546174,1.3417260495,1.0952299756,2.2424220225,1.5240947533,0.0416497373,-0.1666802128,-0.1666802128,1.1948539067,1.1948539067,0.0000000000,-0.1666802128
WY,1.0326522587,1.0581604034,1.7166234016,1.9258675871,1.7166234016,0.0416676160,0.0416676160,-0.1666633075,-0.1666633075,-0.1666633075,0.0416676160,-0.8310216057,0.1996642600,0.1996642600,0.1996642600,0.1996642600,0.1996642600,0.1996642600,0.1996642600,0.1996642600,7.9567507685,0.1996642600,2.2672937692,-0.1666633075,-0.1666633075,-0.1252442998,0.1996642600,0.1996642600,0.1996642600,0.1996642600,0.1996642600,0.1996642600,0.1996642600,0.1996642600,0.1996642600,0.0197080275,0.1996642600,0.0000000000,0.1996642600,1.4725229523,1.4725229523,1.4725229523,1.8675416381,1.5656900532,3.3223083647,2.3647597471,0.0416676160,-0.1666633075,-0.1666633075,1.9258675871,1.9258675871,0.0000000000,-0.1666633075
