Lookup code,Values,AOP,WS,EQ,Excess FL,Liability,Equipment breakdown,PAF,Wildfire,WaterDamage,Hail,Wind,Other,RoofDamageLeak,Theft,Lightning,Fire,IceSnowDamage,PowerSurge,WinterStorm
Distance to Coast0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Distance to Coast1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Distance to Coast2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Distance to Coast3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Distance to Coast4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Distance to Coast5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Distance to Coast6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Distance to Coast7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Distance to Coast8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Distance to Coast9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Distance to Coast10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Distance to Coast11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Distance to Coast12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Distance to Coast13,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Distance to Coast14,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Distance to Coast15,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Distance to Coast20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Distance to Coast50,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Distance to Coast100 Plus,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
