Lookup code,Values,AOP,WS,EQ,Excess FL,Liability,Equipment breakdown,PAF,Wildfire,WaterDamage,Hail,Wind,Other,RoofDamageLeak,Theft,Lightning,Fire,IceSnowDamage,PowerSurge,WinterStorm
Base RateAudio/ Visual EquipmentScheduled,Audio/ Visual EquipmentScheduled,1,1,1.0,1.0,1.0,1,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base RateBaseball/ Sports Cards & Comic booksScheduled,Baseball/ Sports Cards & Comic booksScheduled,1,1,1.0,1.0,1.0,1,0.0075,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base RateBicyclesScheduled,BicyclesScheduled,1,1,1.0,1.0,1.0,1,0.06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base RateBooksScheduled,BooksScheduled,1,1,1.0,1.0,1.0,1,0.005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base RateCoinsScheduled,CoinsScheduled,1,1,1.0,1.0,1.0,1,0.0085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base RateComputersScheduled,ComputersScheduled,1,1,1.0,1.0,1.0,1,0.03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base RateFursScheduled,FursScheduled,1,1,1.0,1.0,1.0,1,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base RateGolf ClubsScheduled,Golf ClubsScheduled,1,1,1.0,1.0,1.0,1,0.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base RateGunsScheduled,GunsScheduled,1,1,1.0,1.0,1.0,1,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base RateHandbagsScheduled,HandbagsScheduled,1,1,1.0,1.0,1.0,1,0.03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base RateMemorabiliaScheduled,MemorabiliaScheduled,1,1,1.0,1.0,1.0,1,0.006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base RateMisc.Scheduled,Misc.Scheduled,1,1,1.0,1.0,1.0,1,0.03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base RateRugsScheduled,RugsScheduled,1,1,1.0,1.0,1.0,1,0.003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base RateSilverwareScheduled,SilverwareScheduled,1,1,1.0,1.0,1.0,1,0.008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base RateStampsScheduled,StampsScheduled,1,1,1.0,1.0,1.0,1,0.005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base RateWine & CigarsScheduled,Wine & CigarsScheduled,1,1,1.0,1.0,1.0,1,0.004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base RateGolf ClubsScheduled - Golf Carts - Excluding Collision,Golf ClubsScheduled - Golf Carts - Excluding Collision,1,1,1.0,1.0,1.0,1,0.025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base RateJewellery & WatchesScheduled - Jewellery,Jewellery & WatchesScheduled - Jewellery,1,1,1.0,1.0,1.0,1,0.016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base RateJewellery & WatchesScheduled Jewellery/Watches - Bank vault only,Jewellery & WatchesScheduled Jewellery/Watches - Bank vault only,1,1,1.0,1.0,1.0,1,0.005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base RateCamerasScheduled - Personal Use,CamerasScheduled - Personal Use,1,1,1.0,1.0,1.0,1,0.0095,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base RateMusical InstrumentsScheduled - Personal Use,Musical InstrumentsScheduled - Personal Use,1,1,1.0,1.0,1.0,1,0.005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base RateCamerasScheduled - Professional Use,CamerasScheduled - Professional Use,1,1,1.0,1.0,1.0,1,0.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base RateMusical InstrumentsScheduled - Professional Use,Musical InstrumentsScheduled - Professional Use,1,1,1.0,1.0,1.0,1,0.0095,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base RateJewellery & WatchesScheduled - Watches,Jewellery & WatchesScheduled - Watches,1,1,1.0,1.0,1.0,1,0.0185,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
