Broker,Brokerage
Amelia Underwriters Inc.,0.150
"Amwins Access Insurance Services, LLC",0.225
"Amwins Insurance Brokerage, LLC",0.225
"Appalachian Underwriters, Inc.",0.150
Arlington/Roe & Co.,0.175
"Bass Underwriters, Inc.",0.200
"Breckenridge Insurance Services, LLC",0.180
"Brown & Riding Insurance Services, Inc",0.175
"Burns & Wilcox, Ltd.", 0.200
Century Risk Advisors,0.120
"CRC Binding, A Division of CRC Insurance",0.200
"CRC Insurance Services, Inc.",0.200
"DeCotis Insurance Associates, Inc.",0.185
"Hamilton Hilands E&S, LLC",0.100
"Hull & Company, LLC",0.215
"Indemnity Excess & Surplus Agency, Inc.", 0.175
"Innovation Growth Partners Specialty, LLC", 0.175
Insurance Partners Consortium Inc,0.175
Jencap Insurance Services Inc.,0.175
Jencap Specialty Insurance Services Inc,0.210
Jimcor Agency,0.200
Johnson & Johnson,0.220
"Lux Insurance Holdings, LTD",0.175
MarketScout Corporation,0.200
"Marsh & McLennan Agency, LLC",0.175
"Mathison Insurance Partners, Inc.",0.150
New England Excess Exchange,0.175
"North Point Underwriters, Inc.",0.200
"Novatae Risk Group, LLC",0.175
One80 Intermediaries,0.200
"Orchid Underwriters Agency, LLC",0.225
Peachtree Special Risk Brokers,0.150
Quirk & Company,0.100
"Reliance Risk Solutions, LLC",0.235
R.E. Chaix & Associates Insurance Brokers,0.175
Risk Placement Services,0.210
"RSG Specialty, LLC",0.210
South East Coastal Underwriters,0.200
South Shore Insurance Underwriters,0.175
Southern Insurance Underwriters,0.175
"Southwest Risk, LP",0.175
Specialty Program Group LLC,0.165
Texas Security General Insurance Agency,0.175
Vintage Underwriters,0.150
Wilson Smith Group (WSG Specialty),0.200
Winchester General Agency,0.175
XPT Partners LLC,0.175
Burns & Wilcox,0.200
UIG,0.175
All Risks Ltd,0.000
AmWins,0.225
Crouse & Associates,0.150
Monarch E&S Northeast,0.175
Quaker Special Risk,0.210
"RT/RSG Specialty, LLC",0.200
"SeaCoast Underwriters, Inc.",0.175
"U.S. Risk, LLC",0.175
