Lookup code,Values,PAF
PAFHazardSurchargeWS,WS,1.125
PAFHazardSurchargeEQ,EQ,1.1
PAFHazardSurchargeExcess FL,Excess FL,1.1
PAFHazardSurchargeWildfire,Wildfire,1.1
