Lookup Code,Values,PAF
Base RateFine ArtScheduled - Non Fragile,Yes,0.60
Base RateFine ArtScheduled - Non Fragile,No,1.00
Base RateFine ArtScheduled - Fragile,Yes,0.60
Base RateFine ArtScheduled - Fragile,No,1.00
Base RateFine ArtBlanket,Yes,0.60
Base RateFine ArtBlanket,No,1.00
Base RateJewellery & WatchesScheduled - Jewellery,Yes,0.81
Base RateJewellery & WatchesScheduled - Jewellery,No,1.00
Base RateJewellery & WatchesScheduled - Watches,Yes,0.81
Base RateJewellery & WatchesScheduled - Watches,No,1.00
Base RateJewellery & WatchesScheduled Jewellery/Watches - Bank vault only,Yes,1.00
Base RateJewellery & WatchesScheduled Jewellery/Watches - Bank vault only,No,1.00
Base RateJewellery & WatchesBlanket,Yes,0.80
Base RateJewellery & WatchesBlanket,No,1.00
