Lookup code,Values,AOP,WS,EQ,Excess FL,Liability,Equipment breakdown,PAF,Wildfire,WaterDamage,Hail,Wind,Other,RoofDamageLeak,Theft,Lightning,Fire,IceSnowDamage,PowerSurge,WinterStorm
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.79,0.79,1,1,1
2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.84,0.84,1,1,1
3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.9,0.9,1,1,1
4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.95,0.95,1,1,1
5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,1,1
6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.13,1.13,1,1,1
7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.33,1.33,1,1,1
8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.38,1.38,1,1,1
9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1.19,1.44,1.44,1,1,1
10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1.19,2.0,2.0,1,1,1
