Lookup code,Values,AOP,PAF,WaterDamage,Hail,Wind,Other,RoofDamageLeak,Theft,Lightning,Fire,IceSnowDamage,PowerSurge,WinterStorm
Burglar AlarmYes,Yes,1,0.95,1,1,1,1,1,1,1,1,1,1,1
Burglar AlarmNo,No,1,1,1,1,1,1,1,1,1,1,1,1,1
