Lookup,State Code,County,RI Name,AOP,Excess FL,Equipment breakdown,PAF,Liability,WS,EQ,Wildfire
FLAlachua County,FL,Alachua County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.55540872,1.55540872,1.107732433
FLBaker County,FL,Baker County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558816082,1.558816082,1.107732433
FLBay County,FL,Bay County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.55816625,1.55816625,1.107732433
FLBradford County,FL,Bradford County,Florida SE - Jacksonville,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.603600961,1.603600961,1.107732433
FLBrevard County,FL,Brevard County,Florida SE - All Other,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.619672687,1.619672687,1.107732433
FLBroward County,FL,Broward County,Florida SE - South Tip,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.986221259,1.986221259,1.107732433
FLCalhoun County,FL,Calhoun County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558816082,1.558816082,1.107732433
FLCharlotte County,FL,Charlotte County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.551803328,1.551803328,1.107732433
FLCitrus County,FL,Citrus County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.549162266,1.549162266,1.107732433
FLClay County,FL,Clay County,Florida SE - Jacksonville,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.603600961,1.603600961,1.107732433
FLCollier County,FL,Collier County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.564188311,1.564188311,1.107732433
FLColumbia County,FL,Columbia County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.554807314,1.554807314,1.107732433
FLDeSoto County,FL,DeSoto County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558816082,1.558816082,1.107732433
FLDixie County,FL,Dixie County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.553944654,1.553944654,1.107732433
FLDuval County,FL,Duval County,Florida SE - Jacksonville,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.604275406,1.604275406,1.107732433
FLEscambia County,FL,Escambia County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.54418993,1.54418993,1.107732433
FLFlagler County,FL,Flagler County,Florida SE - Jacksonville,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.600511378,1.600511378,1.107732433
FLFranklin County,FL,Franklin County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.54240925,1.54240925,1.107732433
FLGadsden County,FL,Gadsden County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558816082,1.558816082,1.107732433
FLGilchrist County,FL,Gilchrist County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.560418183,1.560418183,1.107732433
FLGlades County,FL,Glades County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558816082,1.558816082,1.107732433
FLGulf County,FL,Gulf County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558073631,1.558073631,1.107732433
FLHamilton County,FL,Hamilton County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558816082,1.558816082,1.107732433
FLHardee County,FL,Hardee County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558816082,1.558816082,1.107732433
FLHendry County,FL,Hendry County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558816082,1.558816082,1.107732433
FLHernando County,FL,Hernando County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558909668,1.558909668,1.107732433
FLHighlands County,FL,Highlands County,Florida SE - All Other,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.617375861,1.617375861,1.107732433
FLHillsborough County,FL,Hillsborough County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.573552807,1.573552807,1.107732433
FLHolmes County,FL,Holmes County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558816082,1.558816082,1.107732433
FLIndian River County,FL,Indian River County,Florida SE - All Other,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.637455984,1.637455984,1.107732433
FLJackson County,FL,Jackson County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.552779222,1.552779222,1.107732433
FLJefferson County,FL,Jefferson County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.553808928,1.553808928,1.107732433
FLLafayette County,FL,Lafayette County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558816082,1.558816082,1.107732433
FLLake County,FL,Lake County,Florida SE - All Other,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.616282636,1.616282636,1.107732433
FLLee County,FL,Lee County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.532669634,1.532669634,1.107732433
FLLeon County,FL,Leon County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.540684273,1.540684273,1.107732433
FLLevy County,FL,Levy County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.543554046,1.543554046,1.107732433
FLLiberty County,FL,Liberty County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558816082,1.558816082,1.107732433
FLMadison County,FL,Madison County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558816082,1.558816082,1.107732433
FLManatee County,FL,Manatee County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.548039421,1.548039421,1.107732433
FLMarion County,FL,Marion County,Florida SE - Jacksonville,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.616293166,1.616293166,1.107732433
FLMartin County,FL,Martin County,Florida SE - All Other,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.633250435,1.633250435,1.107732433
FLMiami-Dade County,FL,Miami-Dade County,Florida SE - South Tip,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,2.177899867,2.177899867,1.107732433
FLMonroe County,FL,Monroe County,Florida SE - South Tip,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.643958279,1.643958279,1.107732433
FLNassau County,FL,Nassau County,Florida SE - Jacksonville,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.604278059,1.604278059,1.107732433
FLOkaloosa County,FL,Okaloosa County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558961299,1.558961299,1.107732433
FLOkeechobee County,FL,Okeechobee County,Florida SE - All Other,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.616720788,1.616720788,1.107732433
FLOrange County,FL,Orange County,Florida SE - All Other,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.633254742,1.633254742,1.107732433
FLOsceola County,FL,Osceola County,Florida SE - All Other,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.640282064,1.640282064,1.107732433
FLPalm Beach County,FL,Palm Beach County,Florida SE - South Tip,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.851943784,1.851943784,1.107732433
FLPasco County,FL,Pasco County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.551733432,1.551733432,1.107732433
FLPinellas County,FL,Pinellas County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.553701922,1.553701922,1.107732433
FLPolk County,FL,Polk County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.564287791,1.564287791,1.107732433
FLPutnam County,FL,Putnam County,Florida SE - Jacksonville,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.607801479,1.607801479,1.107732433
FLSanta Rosa County,FL,Santa Rosa County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.546820309,1.546820309,1.107732433
FLSarasota County,FL,Sarasota County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.55672869,1.55672869,1.107732433
FLSeminole County,FL,Seminole County,Florida SE - All Other,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.641803989,1.641803989,1.107732433
FLSt. Johns County,FL,St. Johns County,Florida SE - Jacksonville,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.599998414,1.599998414,1.107732433
FLSt. Lucie County,FL,St. Lucie County,Florida SE - All Other,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.635124454,1.635124454,1.107732433
FLSumter County,FL,Sumter County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.561007158,1.561007158,1.107732433
FLSuwannee County,FL,Suwannee County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558816082,1.558816082,1.107732433
FLTaylor County,FL,Taylor County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558816082,1.558816082,1.107732433
FLUnion County,FL,Union County,Florida SE - Jacksonville,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.603600961,1.603600961,1.107732433
FLVolusia County,FL,Volusia County,Florida SE - All Other,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.619608847,1.619608847,1.107732433
FLWakulla County,FL,Wakulla County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558816082,1.558816082,1.107732433
FLWalton County,FL,Walton County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.606109955,1.606109955,1.107732433
FLWashington County,FL,Washington County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558816082,1.558816082,1.107732433
TXAnderson County,TX,Anderson County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.563903934,1.563903934,1.107732433
TXAndrews County,TX,Andrews County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.557781026,1.557781026,1.107732433
TXAngelina County,TX,Angelina County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.552903635,1.552903635,1.107732433
TXAransas County,TX,Aransas County,Texas WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.618234224,1.618234224,1.107732433
TXArcher County,TX,Archer County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXArmstrong County,TX,Armstrong County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXAtascosa County,TX,Atascosa County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXAustin County,TX,Austin County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.576492566,1.576492566,1.107732433
TXBailey County,TX,Bailey County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXBandera County,TX,Bandera County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXBastrop County,TX,Bastrop County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.572203685,1.572203685,1.107732433
TXBaylor County,TX,Baylor County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXBee County,TX,Bee County,Texas WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.666661911,1.666661911,1.107732433
TXBell County,TX,Bell County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXBexar County,TX,Bexar County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.502634645,1.502634645,1.107732433
TXBlanco County,TX,Blanco County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXBorden County,TX,Borden County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXBosque County,TX,Bosque County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.572772467,1.572772467,1.107732433
TXBowie County,TX,Bowie County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXBrazoria County,TX,Brazoria County,Texas WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.645269092,1.645269092,1.107732433
TXBrazos County,TX,Brazos County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.562794782,1.562794782,1.107732433
TXBrewster County,TX,Brewster County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXBriscoe County,TX,Briscoe County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXBrooks County,TX,Brooks County,Texas WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.666661911,1.666661911,1.107732433
TXBrown County,TX,Brown County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXBurleson County,TX,Burleson County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXBurnet County,TX,Burnet County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.537533193,1.537533193,1.107732433
TXCaldwell County,TX,Caldwell County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXCalhoun County,TX,Calhoun County,Texas WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.636383653,1.636383653,1.107732433
TXCallahan County,TX,Callahan County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXCameron County,TX,Cameron County,Texas WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.630120123,1.630120123,1.107732433
TXCamp County,TX,Camp County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXCarson County,TX,Carson County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXCass County,TX,Cass County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXCastro County,TX,Castro County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXChambers County,TX,Chambers County,Texas WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.666661911,1.666661911,1.107732433
TXCherokee County,TX,Cherokee County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXChildress County,TX,Childress County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXClay County,TX,Clay County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXCochran County,TX,Cochran County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXCoke County,TX,Coke County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXColeman County,TX,Coleman County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXCollin County,TX,Collin County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.546304327,1.546304327,1.107732433
TXCollingsworth County,TX,Collingsworth County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXColorado County,TX,Colorado County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.578126638,1.578126638,1.107732433
TXComal County,TX,Comal County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.545919255,1.545919255,1.107732433
TXComanche County,TX,Comanche County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXConcho County,TX,Concho County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXCooke County,TX,Cooke County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.561233558,1.561233558,1.107732433
TXCoryell County,TX,Coryell County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXCottle County,TX,Cottle County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXCrane County,TX,Crane County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXCrockett County,TX,Crockett County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXCrosby County,TX,Crosby County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXCulberson County,TX,Culberson County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXDallam County,TX,Dallam County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXDallas County,TX,Dallas County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.546304327,1.546304327,1.107732433
TXDawson County,TX,Dawson County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXDeaf Smith County,TX,Deaf Smith County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXDelta County,TX,Delta County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXDenton County,TX,Denton County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.546304327,1.546304327,1.107732433
TXDeWitt County,TX,DeWitt County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.568212294,1.568212294,1.107732433
TXDickens County,TX,Dickens County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXDimmit County,TX,Dimmit County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXDonley County,TX,Donley County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXDuval County,TX,Duval County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXEastland County,TX,Eastland County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXEctor County,TX,Ector County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558863075,1.558863075,1.107732433
TXEdwards County,TX,Edwards County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXEllis County,TX,Ellis County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558764342,1.558764342,1.107732433
TXEl Paso County,TX,El Paso County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.538806686,1.538806686,1.107732433
TXErath County,TX,Erath County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXFalls County,TX,Falls County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXFannin County,TX,Fannin County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXFayette County,TX,Fayette County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.573940606,1.573940606,1.107732433
TXFisher County,TX,Fisher County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXFloyd County,TX,Floyd County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXFoard County,TX,Foard County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXFort Bend County,TX,Fort Bend County,Texas WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.676520142,1.676520142,1.107732433
TXFranklin County,TX,Franklin County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXFreestone County,TX,Freestone County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXFrio County,TX,Frio County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXGaines County,TX,Gaines County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXGalveston County,TX,Galveston County,Texas WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.64001974,1.64001974,1.107732433
TXGarza County,TX,Garza County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXGillespie County,TX,Gillespie County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.542672303,1.542672303,1.107732433
TXGlasscock County,TX,Glasscock County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXGoliad County,TX,Goliad County,Texas WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.666661911,1.666661911,1.107732433
TXGonzales County,TX,Gonzales County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXGray County,TX,Gray County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXGrayson County,TX,Grayson County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.534236458,1.534236458,1.107732433
TXGregg County,TX,Gregg County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.561704928,1.561704928,1.107732433
TXGrimes County,TX,Grimes County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.577027028,1.577027028,1.107732433
TXGuadalupe County,TX,Guadalupe County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXHale County,TX,Hale County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXHall County,TX,Hall County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXHamilton County,TX,Hamilton County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXHansford County,TX,Hansford County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXHardeman County,TX,Hardeman County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXHardin County,TX,Hardin County,Texas WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.666661911,1.666661911,1.107732433
TXHarris County,TX,Harris County,Texas WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.675052049,1.675052049,1.107732433
TXHarrison County,TX,Harrison County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.56232752,1.56232752,1.107732433
TXHartley County,TX,Hartley County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXHaskell County,TX,Haskell County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXHays County,TX,Hays County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.546158202,1.546158202,1.107732433
TXHemphill County,TX,Hemphill County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXHenderson County,TX,Henderson County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.535929225,1.535929225,1.107732433
TXHidalgo County,TX,Hidalgo County,Texas WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.620769087,1.620769087,1.107732433
TXHill County,TX,Hill County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.560392782,1.560392782,1.107732433
TXHockley County,TX,Hockley County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXHood County,TX,Hood County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.538702146,1.538702146,1.107732433
TXHopkins County,TX,Hopkins County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXHouston County,TX,Houston County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXHoward County,TX,Howard County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXHudspeth County,TX,Hudspeth County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXHunt County,TX,Hunt County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.561885886,1.561885886,1.107732433
TXHutchinson County,TX,Hutchinson County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXIrion County,TX,Irion County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXJack County,TX,Jack County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXJackson County,TX,Jackson County,Texas WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.666661911,1.666661911,1.107732433
TXJasper County,TX,Jasper County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.564562724,1.564562724,1.107732433
TXJeff Davis County,TX,Jeff Davis County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXJefferson County,TX,Jefferson County,Texas WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.644294438,1.644294438,1.107732433
TXJim Hogg County,TX,Jim Hogg County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXJim Wells County,TX,Jim Wells County,Texas WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.666661911,1.666661911,1.107732433
TXJohnson County,TX,Johnson County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXJones County,TX,Jones County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXKarnes County,TX,Karnes County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.562869401,1.562869401,1.107732433
TXKaufman County,TX,Kaufman County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.568580272,1.568580272,1.107732433
TXKendall County,TX,Kendall County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.561275677,1.561275677,1.107732433
TXKenedy County,TX,Kenedy County,Texas WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.666661911,1.666661911,1.107732433
TXKent County,TX,Kent County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXKerr County,TX,Kerr County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.560497179,1.560497179,1.107732433
TXKimble County,TX,Kimble County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
TXKing County,TX,King County,,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.583818642,1.583818642,1.107732433
