State,State Code,County,Lookup,AOP,WS,EQ,FL,Wildfire,PAF,Equipment Breakdown
Alabama,AL,Autauga County,ALAutauga County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Baldwin County,ALBaldwin County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Barbour County,ALBarbour County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Bibb County,ALBibb County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Blount County,ALBlount County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Bullock County,ALBullock County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Butler County,ALButler County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Calhoun County,ALCalhoun County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Chambers County,ALChambers County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Cherokee County,ALCherokee County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Chilton County,ALChilton County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Choctaw County,ALChoctaw County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Clarke County,ALClarke County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Clay County,ALClay County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Cleburne County,ALCleburne County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Coffee County,ALCoffee County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Colbert County,ALColbert County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Conecuh County,ALConecuh County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Coosa County,ALCoosa County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Covington County,ALCovington County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Crenshaw County,ALCrenshaw County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Cullman County,ALCullman County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Dale County,ALDale County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Dallas County,ALDallas County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,DeKalb County,ALDeKalb County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Elmore County,ALElmore County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Escambia County,ALEscambia County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Etowah County,ALEtowah County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Fayette County,ALFayette County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Franklin County,ALFranklin County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Geneva County,ALGeneva County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Greene County,ALGreene County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Hale County,ALHale County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Henry County,ALHenry County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Houston County,ALHouston County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Jackson County,ALJackson County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Jefferson County,ALJefferson County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Lamar County,ALLamar County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Lauderdale County,ALLauderdale County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Lawrence County,ALLawrence County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Lee County,ALLee County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Limestone County,ALLimestone County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Lowndes County,ALLowndes County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Macon County,ALMacon County,Include,Include,Include,Include,Include,Include,Include
Alabama,AL,Madison County,ALMadison County,Include,Include,Include,Include,Include,Include,Include
