Lookup code,Values,AOP,WS,EQ,Excess FL,Equipment breakdown,PAF,Wildfire
Deductible Load500,500,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0
Deductible Load1000,1000,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0
