Lookup code,Values,AOP,WS,EQ,Excess FL,Liability,Equipment breakdown,Wildfire
Minimum Rate,Minimum Rate,0,0,0,-999.0,0.0,0.0,0
Minimum RateFloodZoneA,A,-999,-999,-999,0.00,-999.0,-999.0,-999
Minimum RateFloodZoneB,B,-999,-999,-999,0.00,-999.0,-999.0,-999
Minimum RateFloodZoneC,C,-999,-999,-999,0.00,-999.0,-999.0,-999
Minimum RateFloodZoneD,D,-999,-999,-999,0.00,-999.0,-999.0,-999
Minimum RateFloodZoneX,X,-999,-999,-999,0.00,-999.0,-999.0,-999
Minimum RateFloodZoneV,V,-999,-999,-999,0.00,-999.0,-999.0,-999
