Peril,Base Rate,Base Rate Proportions
Water Damage,0.0009757877185043435,0.3786092425659677
Hail/Wind,0.0002432816448687486,0.0943941776958834
Fire,0.000874859480016895,0.33944871287020467
Other,0.000483366184832482,0.18754786686794414
