Lookup code,Values,AOP,WS,EQ,Excess FL,Liability,Equipment breakdown,PAF,Wildfire,WaterDamage,Hail,Wind,Other,RoofDamageLeak,Theft,Lightning,Fire,IceSnowDamage,PowerSurge,WinterStorm
Frame,Frame,1,1.0,1.0,1.0,1.0,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Masonry,Masonry,1,0.75,2.3749999999999996,0.9,0.9,1,1,1,1,0.9,0.9,0.9,0.9,0.9,0.75,0.75,0.9,0.9,1
Masonry Veneer,Masonry Veneer,1,0.75,2.3749999999999996,0.9,0.9,1,1,1,1,0.9,0.9,0.9,0.9,0.9,0.75,0.75,0.9,0.9,1
Superior,Superior,1,0.75,2.3749999999999996,0.9,0.9,1,1,1,1,0.9,0.9,0.9,0.9,0.9,0.75,0.75,0.9,0.9,1
Non Combustible,Non Combustible,1,0.8,0.5937499999999999,1.0,1.0,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Masonry Non Combustible,Masonry Non Combustible,1,0.75,2.1374999999999997,1.0,1.0,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Modified Fire Resistive,Modified Fire Resistive,1,0.5,1.0124999999999997,1.0,1.0,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Fire Resistive,Fire Resistive,1,0.5,0.45,1.0,1.0,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Joisted Masonry,Joisted Masonry,1,0.75,2.3749999999999996,0.9,0.9,1,1,1,1,0.9,0.9,0.9,0.9,0.9,0.75,0.75,0.9,0.9,1
