Lookup code,Values,AOP,WS,EQ,Excess FL,Liability,Equipment breakdown,PAF,Wildfire,WaterDamage,Hail,Wind,Other,RoofDamageLeak,Theft,Lightning,Fire,IceSnowDamage,PowerSurge,WinterStorm
AKC1,C1,1,1,0.8258965899950677,0.7691943311764726,0.8360445348398794,1,1,0.7152923110603941,0.500338769552647,0.01250519890582906,0.47049476451505307,0.7199875962518333,0.7199875962518333,1.5708308131566056,0.1227033846878249,1.6392990774835288,0.7199875962518333,0.7199875962518333,0.0
AKC2,C2,1,1,0.36654549212034787,0.7691943311764726,0.8360445348398794,1,1,0.7152923110603941,0.500338769552647,0.01250519890582906,0.47049476451505307,0.7199875962518333,0.7199875962518333,1.5708308131566056,0.1227033846878249,1.6392990774835288,0.7199875962518333,0.7199875962518333,0.0
AKC3,C3,1,1,0.0,0.7691943311764726,0.8360445348398794,1,1,0.7152923110603941,0.500338769552647,0.01250519890582906,0.47049476451505307,0.7199875962518333,0.7199875962518333,1.5708308131566056,0.1227033846878249,1.6392990774835288,0.7199875962518333,0.7199875962518333,0.0
AKI1,I1,1,1,0.8258965899950677,0.7691943311764726,0.8360445348398794,1,1,0.7152923110603941,0.500338769552647,0.01250519890582906,0.47049476451505307,0.7199875962518333,0.7199875962518333,1.5708308131566056,0.1227033846878249,1.6392990774835288,0.7199875962518333,0.7199875962518333,0.0
AKI2,I2,1,1,0.36654549212034787,0.7691943311764726,0.8360502186146348,1,1,0.7152923110603941,0.5001469404854079,0.012486977566293257,0.47107246045427115,0.7198984044737464,0.7198984044737464,1.5712097098064224,0.12274405367120277,1.6397168116378642,0.7198984044737464,0.7198984044737464,0.0
AKI3,I3,1,1,0.0,0.7691943311764726,0.8360445348398794,1,1,0.7152923110603941,0.500338769552647,0.01250519890582906,0.47049476451505307,0.7199875962518333,0.7199875962518333,1.5708308131566056,0.1227033846878249,1.6392990774835288,0.7199875962518333,0.7199875962518333,0.0
ALC1,C1,1,1,0.0,0.7945307998110646,0.785070903216656,1,1,0.5413419324635769,0.37173472615482217,0.5703030081801549,0.7462284443663609,0.6308812659963114,0.6308812659963114,2.1042690531259094,2.391168386600038,0.8972773077635539,0.6308812659963114,0.6308812659963114,0.9112311195329303
ALC2,C2,1,1,0.0,0.7945307998110646,0.7730258587289099,1,1,0.5413419324635769,0.4301877164920361,0.75,1.0,0.6296341413625842,0.6296341413625842,2.85048443665921,2.0,0.7,0.6296341413625842,0.6296341413625842,0.9112311195329303
ALC3,C3,1,1,0.00938692529788877,0.7945307998110646,0.7730258587289099,1,1,0.5413419324635769,0.4301877164920361,0.75,1.0,0.6296341413625842,0.6296341413625842,2.85048443665921,2.0,0.7,0.6296341413625842,0.6296341413625842,0.9112311195329303
ALI1,I1,1,1,0.0,0.7945307998110646,0.48758782118107713,1,1,0.5413419324635769,0.564456862363105,1.1646312999057689,0.9851427741808545,0.7575599698531182,0.7575599698531182,2.379050698650632,1.8626598162107442,0.5016350319514177,0.7575599698531182,0.7575599698531182,0.9112311195329303
