State Code,NB Discount
FL,-0.280
TX,-0.045
NY,-0.247
MA,-0.218
NJ,-0.253
SC,-0.350
NC,-0.303
GA,-0.273
CO,-0.236
CT,-0.237
HI,-0.169
OK,-0.057
VA,-0.173
RI,-0.282
AZ,-0.221
AL,-0.366
TN,-0.125
IL,-0.023
MT,-0.226
UT,-0.279
LA,0.291
MS,-0.206
DE,-0.332
PA,0.028
MN,-0.180
AR,-0.161
NV,0.392
MD,-0.323
ID,-0.136
WA,-0.283
MO,0.040
WY,-0.425
KS,0.010
ME,-0.481
DC,-0.464
MI,-0.368
KY,-0.503
IN,0.125
OH,-0.567
NE,-0.160
WI,-0.662
NH,-0.120
VT,-0.367
IA,-0.387
WV,-0.559
NM,-0.264
ND,0.103
OR,-0.080
SD,0.000
AK,0.000
CA,0.000
