Development Month,Fine Art and Specie,Jewellers
1,0,0
2,0,0
3,5.21803E-05,0.000483609
4,0.001944091,0.013960893
5,0.00429044,0.033315315
6,0.005885256,0.053036425
7,0.007195835,0.069599509
8,0.015382536,0.087422809
9,0.039278987,0.112910306
10,0.084902138,0.151067739
11,0.14700223,0.201307884
12,0.217512829,0.261645273
13,0.289005922,0.329195535
14,0.356607191,0.397478676
15,0.416080741,0.459115801
16,0.464811751,0.50879329
17,0.506669702,0.549458654
18,0.547145151,0.58612468
19,0.590592676,0.623113441
20,0.636822937,0.661984143
21,0.684510621,0.703605275
22,0.732111025,0.747965633
23,0.777201915,0.791535245
24,0.817141668,0.829904448
25,0.850115217,0.860039979
26,0.877613695,0.884414181
27,0.901954786,0.906875799
28,0.924866508,0.930119705
29,0.945718211,0.952225278
30,0.963289574,0.970118025
31,0.976619377,0.981628167
32,0.985782784,0.988204785
33,0.991114056,0.992201675
34,0.993186798,0.995518856
35,0.993531999,0.99824125
36,0.993919993,1
37,0.995637998,1
38,0.998040783,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
