Category,JB,FA,GS,CIT
Direct,	0.14,	0.1525,	0.1525,	0.1525
Indirect,	1060, 1060,	1060,	1060
LAE,7.72E-02	,7.72E-02,	7.72E-02,	7.72E-02
Group Cat Risk,	1575000000,	1575000000,	1575000000,	1575000000
Net Group Cat Risk,	675000000,	675000000,	675000000,	675000000
Held Capital,	5267426299,	5267426299,	5267426299,	5267426299
Add Cat Risk,	0.1,	0.1,	0.1,	0.1
Cor Cap Req,	0,	0,	0,	0
Cap Allocation,	0.809138176,	0.667137533,	1.113137004,	0.927694525
Reinsurance,	0.14702811077,	1.211743809,	1.211743809,	1.211743809
% Cat,	6.88E-02,	0.149602386,	0.149602386,	0.149602386
AcqCosts,	0.25,	0.3,	0.25,	0.25
LR,	0.691642229,	0.57825,	0.57825,	0.57825
CoC,	0.15,	0.15,	0.15,	0.15
Investment Income,	0.0855947955390335,	0.0730791915250777,	0.0730791915250777,	0.0730791915250777
