tag,subcategory
JB,Premises
JB,Travel
JB,Additional
FA,Premises
FA,Travel
FA,Additional
GS,Metals
GS,Cash
GS,Securities
GS,Additional
CIT,Premises
CIT,Additional
CIT,Additional2
