type,region,country,1000000,3000000,5000000,10000000,20000000,50000000,100000000,>100m
Static Art,Worldwide,Worldwide,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Exhibitions,Worldwide,Worldwide,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
FA Misc,Worldwide,Worldwide,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Åland Islands,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Afghanistan,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Albania,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Algeria,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Oceania,American Samoa,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Andorra,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Africa,Angola,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Anguilla,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Antigua and Barbuda,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,South America,Argentina,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Armenia,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Aruba,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Oceania,Australia,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Austria,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Azerbaijan,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Bahamas,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Bahrain,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Asia,Bangladesh,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,North America,Barbados,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Belarus,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
Static Art,Europe,Belgium,0.0015,0.00125,0.001,0.0008,0.00065,0.0005,0.00045,0.0004
