PolicyReference,SectionReference,YOA,CoverageName,TriFocusName,Division,RateChangeDivisor,SettlementCurrency,WrittenOrEstimatPrem,TotalIncurred,RateChangeReformat,WEPOnLevel,Index,TotalWrittenIfNotSignedMultiplier,TotalWEP
F7923C92,F7923C92ANFW,1993,Jewellers - Wholesale,Jewellers,Property Risks,0,GBP,4502.7393,0,1,4502.7393,F7923CANFW,0.136364,33020.00015
F7923C93,F7923C93ANFW,1994,Jewellers - Wholesale,Jewellers,Property Risks,0,GBP,4918.3768,0,1,4918.3768,F7923CANFW,0.136364,36068.00035
F8580A92,F8580A92ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,3559.7145,0,1,3559.7145,F8580AANFJ,0.2,17798.5725
F8561V92,F8561V92ANFM,1993,General Specie,Fine Art and Specie,Property Risks,0,GBP,323.4525,0,1,323.4525,F8561VANFM,0.1852,1746.50378
L0970V93,L0970V93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,1768.285,0,1,1768.285,L0970VANFJ,0.1415,12496.71378
L0663V93,L0663V93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,170533.5437,44591.163,1,170533.5437,L0663VANFJ,0.2893,589469.56
F4625D93,F4625D93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,46963.1264,483495.5914,1,46963.1264,F4625DANFJ,0.099932,469950.8306
L0307S93,L0307S93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,USD,2124.8035,0,1,2124.8035,L0307SANFJ,0.0811,26199.79655
B0996C93,B0996C93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,1728720.18,1211307.496,1,1728720.18,B0996CANFJ,0.2046,8449267.74
B1013N93,B1013N93ANFM,1993,General Specie,Fine Art and Specie,Property Risks,0,GBP,22620.5895,3387.7498,1,22620.5895,B1013NANFM,0.1464,154512.2234
L0350G93,L0350G93AVFM,1993,General Specie,Fine Art and Specie,Property Risks,0,USD,9657.4586,0,1,9657.4586,L0350GAVFM,0.038154,253117.854
L0114K93,L0114K93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,78011.2059,74505.3579,1,78011.2059,L0114KANFJ,0.0233,3348120.425
