type,region,country,0_1m,1_3m,3_5m,5_10m,10_20m,20m_plus
General,Europe,Åland Islands,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Afghanistan,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Albania,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Algeria,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Oceania,American Samoa,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Andorra,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Angola,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Anguilla,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Antigua and Barbuda,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,South America,Argentina,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Armenia,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Aruba,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Oceania,Australia,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Austria,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Azerbaijan,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Bahamas,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Bahrain,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Bangladesh,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Barbados,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Belarus,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Belgium,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Belize,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Benin,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Bermuda,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Bhutan,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,South America,Bolivia,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,"Bonaire, Sint Eustatius and Saba",0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Bosnia and Herzegovina,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Botswana,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Antarctica,Bouvet Island (Bouvetoya),0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,South America,Brazil,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,British Indian Ocean Territory (Chagos Archipelago),0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,British Virgin Islands,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Brunei,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Bulgaria,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Burkina Faso,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Burundi,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Cambodia,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Cameroon,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Canada,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Cape Verde,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Cayman Islands,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Central African Republic,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Chad,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,South America,Chile,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,China,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Christmas Island,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Cocos (Keeling) Islands,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,South America,Colombia,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Comoros,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Congo,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Congo the,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Oceania,Cook Islands,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Costa Rica,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Cote d'Ivoire,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Croatia,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Cuba,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Curacao,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Cyprus,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Czech Republic,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Denmark,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Oceania,Disputed Territory,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Djibouti,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Dominica,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Dominican Republic,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,South America,Ecuador,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Egypt,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,El Salvador,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Equatorial Guinea,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Eritrea,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Estonia,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Ethiopia,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,South America,Falkland Islands,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Faroe Islands,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Oceania,Fiji,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Finland,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,France,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,South America,French Guiana,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Oceania,French Polynesia,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Antarctica,French Southern Territories,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Gabon,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Gambia,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Georgia,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Germany,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Ghana,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Gibraltar,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Greece,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Greenland,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Grenada,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Guadeloupe,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Oceania,Guam,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Guatemala,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Guernsey,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Guinea,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Africa,Guinea-Bissau,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,South America,Guyana,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Haiti,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Antarctica,Heard Island and McDonald Islands,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Vatican City,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,North America,Honduras,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Hong Kong,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Hungary,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Iceland,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,India,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Indonesia,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Iran,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Iraq,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Iraq-Saudi Arabia Neutral Zone,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Ireland,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Isle of Man,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Asia,Israel,0.006,0.0045,0.0035,0.0025,0.0015,0.001
General,Europe,Italy,0.006,0.0045,0.0035,0.0025,0.0015,0.001
