type,region,country,500000,1000000,1500000,2000000,3000000,5000000,10000000
Retail,Worldwide,Worldwide,0.003,0.0025,0.002,0.0015,0.001,0.001,0.001
Wholesale,Worldwide,Worldwide,0.0025,0.002,0.0015,0.001,0.001,0.001,0.001
Manufacturing,Worldwide,Worldwide,0.0025,0.002,0.0015,0.001,0.001,0.001,0.001
Retail,Europe,Åland Islands,0.0125,0.0075,0.005,0.004,0.003,0.002,0.0015
Retail,Asia,Afghanistan,0.003,0.0025,0.002,0.0015,0.001,0.001,0.001
Retail,Europe,Albania,0.0125,0.0075,0.005,0.004,0.003,0.002,0.0015
Retail,Africa,Algeria,0.003,0.0025,0.002,0.0015,0.001,0.001,0.001
Retail,Oceania,American Samoa,0.003,0.0025,0.002,0.0015,0.001,0.001,0.001
Retail,Europe,Andorra,0.0125,0.0075,0.005,0.004,0.003,0.002,0.0015
Retail,Africa,Angola,0.003,0.0025,0.002,0.0015,0.001,0.001,0.001
Retail,North America,Anguilla,0.0175,0.01,0.0075,0.0055,0.0045,0.004,0.0035
Retail,North America,Antigua and Barbuda,0.0175,0.01,0.0075,0.0055,0.0045,0.004,0.0035
Retail,South America,Argentina,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Retail,Europe,Armenia,0.0125,0.0075,0.005,0.004,0.003,0.002,0.0015
Retail,North America,Aruba,0.0175,0.01,0.0075,0.0055,0.0045,0.004,0.0035
Retail,Oceania,Australia,0.003,0.0025,0.002,0.0015,0.001,0.001,0.001
Retail,Europe,Austria,0.0125,0.0075,0.005,0.004,0.003,0.002,0.0015
Retail,Europe,Azerbaijan,0.0125,0.0075,0.005,0.004,0.003,0.002,0.0015
Retail,North America,Bahamas,0.0175,0.01,0.0075,0.0055,0.0045,0.004,0.0035
Retail,Asia,Bahrain,0.003,0.0025,0.002,0.0015,0.001,0.001,0.001
Retail,Asia,Bangladesh,0.003,0.0025,0.002,0.0015,0.001,0.001,0.001
Retail,North America,Barbados,0.0175,0.01,0.0075,0.0055,0.0045,0.004,0.0035
Retail,Europe,Belarus,0.0125,0.0075,0.005,0.004,0.003,0.002,0.0015
Retail,Europe,Belgium,0.0063,0.00378,0.00252,0.002016,0.001512,0.001008,0.000756
Retail,North America,Belize,0.0175,0.01,0.0075,0.0055,0.0045,0.004,0.0035
Retail,Africa,Benin,0.003,0.0025,0.002,0.0015,0.001,0.001,0.001
Retail,North America,Bermuda,0.0175,0.01,0.0075,0.0055,0.0045,0.004,0.0035
Retail,Asia,Bhutan,0.003,0.0025,0.002,0.0015,0.001,0.001,0.001
Retail,South America,Bolivia,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Retail,North America,"Bonaire, Sint Eustatius and Saba",0.0175,0.01,0.0075,0.0055,0.0045,0.004,0.0035
Retail,Europe,Bosnia and Herzegovina,0.0125,0.0075,0.005,0.004,0.003,0.002,0.0015
Retail,Africa,Botswana,0.003,0.0025,0.002,0.0015,0.001,0.001,0.001
Retail,Antarctica,Bouvet Island (Bouvetoya),0.01,0.01,0.01,0.01,0.01,0.01,0.01
Retail,South America,Brazil,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Retail,Asia,British Indian Ocean Territory (Chagos Archipelago),0.003,0.0025,0.002,0.0015,0.001,0.001,0.001
Retail,North America,British Virgin Islands,0.0175,0.01,0.0075,0.0055,0.0045,0.004,0.0035
Retail,Asia,Brunei,0.003,0.0025,0.002,0.0015,0.001,0.001,0.001
Retail,Europe,Bulgaria,0.0125,0.0075,0.005,0.004,0.003,0.002,0.0015
Retail,Africa,Burkina Faso,0.003,0.0025,0.002,0.0015,0.001,0.001,0.001
