firm_name
A & P LIMITED / AFRICAN BOTTLING OPERATIONS CO
ACACIA CORP
ACCENT DELIGHT INTERNATIONAL LTD
ACMI - TATE LIGHT EXHIBITION
ACUTIS POSSIO ANNA MARIA
ADRIAN BRINKEROFF
AEGIS SECURE SOLUTIONS SDN BHD
AJG PROCESSING LINESLIP
AL ETIHAD GOLD
ALAN AND PRISCILLA FENTON
ALBERTINA MUSEUM (LOAN EXHIBTION)
ALEXANDER TEDJA/ IRENE TEDJA/ PT ARTISAN WAHYU/PT PAKUWON ARTHANIAGA/PT PAKUWON PERMAIN
ALTA RETAIL SNC
ALTAREA
AMAN (THE PALESTINIAN COMPANY FOR CASH AND VALUABLES TRANSPORTATION)
AMERICAN UNIVERSITY (CAIRO)
AMIRI GEMS
ANCELLE SARL
ANDRE MAYER
ANDREW MAYER
ANGELINI FRANCESCO
ANGELINI HUGUES
ANNA SCHWARTZ GALLERY
ANNE JACQUEMIN SABLON SARL
ANSHINDO PARIS SARL
ANSORENA S.A.
APARTMENTS OF THE WORLD LTD
APEX MINING CO INC
APMEX
APOLLO INVESTMENTS
ARCADE PLAZA TRADERS
ARKKAL BULLION SDN BHD
ARMITANO DAVID
AROSA
ART DE P CONTINUATION LTD
ART EXHIBITIONS CHINA CORPORATION
ART LOGISTICS
ARTISTICA
ASIA FORCE SECURITY (M) SDN. BHD.
ASP SARL (FRANCO LEMBO AUTOMOBILIA)
ASPIAL CORPORATION LIMIT AND/OR ASPIAL LIFESTYLE JEWELLERY GROUP PTE LTD
ASPIAL LIFESTYLE JEWELLERY GROUP PTE LTD AND/OR ASPIAL CORPORATION LIMITED
ASPIAL LIFESTYLE LIMITED AND/OR ITS SUBSIDIARIES AND/OR MAXI-CASH RETAIL PTE LTD
ASPIAL-LEE HWA JEWELLERY SINGAPORE PTE LTD AND ASPIAL CORPORATION LIMITED
ASSOCIATION PALEOTRICK
AUDEMARS PIGUET
AUGUST GILLES
AVA USA
AVA USA INC $300M X $50M
AVA USA INC $650M X $350M
AYNES LAURENT
BACCARAT
BANCO CENTRAL DEL ECUADOR
BANCO DE MEXICO
BANCO DO BRASIL
BANCO NACIONAL ULTRAMARINO S.A.
BANCO NACIONAL ULTRAMARINO S.A. AND/OR ITS ASSOCIATED OR AFFILIATED OR SUBSIDIARY COMPANIES FOR THEIR RESPECTIVE RIGHTS AND INTERESTS.
BANCO SANTANDER ARGENTINA
BANCO SANTANDER MEXICO
BANK ISLAM MALAYSIA BERHAD
BANK ISLAM MALAYSIA BERHAD AND / OR FARIHAN CORPORATION SDN BHD
BANK ISLAM MALAYSIA BERHAD AND/OR SUBSIDIARY COMPANIES F.T.R.R. & I
BANK MUAMALAT MALAYSIA BERHAD
BANK OF CHINA
BANK OF MONTREAL $2BN X $1BN
BANK OF MONTREAL1BN
BANK OF NEW YORK MELLON
BARBEAULT LOIC
BASF
BAYERN DIC / DIL
BBVA BANCO FRANCES
BBVA BANCO FRANCÉS
BEAUMARIS & MINOU
BEIJING FINE ART ACADEMY / THE GRAND CANAL MUSEUM OF BEIJING (CAPITAL MUSEUM EAST BRANCH) / CAPITAL MUSEUM ETC
BEIJING FINE ART ACADEMY / THE GRAND CANAL MUSEUM OF BEIJING (CAPITAL MUSEUM EAST BRANCH)
BEIJING PALACE MUSEUM
BENITO BENEDINI
BERAUDIAS MARYSE
BERETTA OLIVIER
BERNAR VENET STUDIO SAS & VENET BERNAR
BERRY BROS & RUDD LIMITED
BGFI BANK DRC
BISMUTH JEREMY
BLACK OAK SAS
BLACKFORD CASKS LTD
BLACKWALL GREEN (APOLLO LED) BINDER
BLG CAPITAL
BONDIAMANT
BRACONNIER LUCIE & PARTAGE SAS
BRANDO JEAN-FRANCOIS
BRASIFORT
BRIGHAM YOUNG UNIVERSITY
BRIGHAM YOUNG UNIVERSITY - HISPANIC SOCIETY EXHIBITION
BRINKS $450M X $50M
BRINKS $5M X $15M
BRINKS $750M XS $1.75BN
BRINKS BRAZIL
BRINKS CAPTIVE $5M X $10M
BRINKS CO. LTD  -KOREA
BRINKS PRIMARY $50M
BRUKENTHAL SIBIU NATIONAL MUSEUM - TITIAN EXHIBITION
BRUNEAU PIERRE
BUSAN MUSEUM
BUTCHOFF ANTIQUES LTD
CANAL STATION
CARATS & LOVE PTE LTD
CARMUSO CLARISSA
CARNEGIE MUSEUMS
CASA FILLAT S.L.
CAYMAN ARMORED
CAYMON ARMORED
CDF SG PTE LTD
CETUS ENTERPRISES
CH ASSETS HOLDINGS
CHALONDIS SAS
CHANTECLER SPA
CHARDEAU MARIE
CHARPENTIER GEORGES & SOPHIE
CHASTEL ALEXANDRE
CHATEAU LA COSTE
CHAUCER FINE ARTS
CHAUCER FINE ARTS LTD
CHINA ARTS & CRAFTS
CHINA RESOURCES RETAIL (GROUP) CO. LTD. AND/OR CHINESE ARTS & CRAFTS (HK) LIMITED AND/OR ITS SUBSIDIARIES/ AFFILIATED AND ASSOCIATED COMPANIES FOR THEIR RESPECTIVE RIGHTS AND INTERESTS MAY APPEAR
CHL HOLDINGS SP PREMISES
CHL HOLDINGS SP TRANSITS
CHRISTIES GBP 1.15B XS GBP 250M
CHRISTOPHER COLLECTION
CHUA CHUAN LEONG CONTRACTORS PTE LTD
CHUA GEOK ENG
CITE DE L'ARCHITECTURE ET DU PATRIMOINE
CITY OF ESSEN
CLAREMONT ENTERPRISES
CLAREMONT ENTERPRISES INC
CLARK ART INSTITUTE
CLAUSSON OLOF
CLINDER SA
CNT $500M X $250M
CNT INC
COINS & THINGS INC DBA CNT INC
COLETTI JEAN-LOUIS & ARMANDE
COLLECTORS UNIVERSE
COLLECTORS UNIVERSE PING AN
COLLECTORS UNIVERSE TOP EXCESS
COMETRA
COMETRA $15M XS $5M
COMMANDO 8
COMMERZBANK
COMMERZBANK AG
COMPAGNIE CHAMPENOISE PH-CH.PIPER HEIDSIECK SAS
COMPANIA DE SEGURIDAD E INVESTIGACIONCES PRIVADAS LA CONFIANZA
CONSTANTINE
CONTINI PHILIPPE
COOPERATIVA INTEGRAL COINAG
COSMOPOLITAN HOLDINGS
COSMOPOLITAN HOLDINGS LTD
COUSTURES ERIC  & ANGELA
CRANE KALMAN GALLERY
CRANFORD ARTS LTD
CRENNE EMMANUEL
CRITERION KESZPENZLOGIZSTIKAI KFT
CROWN ESTATES / STEPHEN RUSSELL
CRYPTO CURRENCY PRIVATE KEY VAULT
CUSI
CUSI MONTENAPOLEONE SRL
CUSTODIAN VAULTS PTY LTD
CYNTHIA CORBETT GALLERY
CZARINA SAM
D.M.G. INTERNATIONAL
DAEGU ART MUSEUM
DAEHN BEAUMONT
DAEJEON MUSEUM OF ART
DALLAS PRICE
DAMASO MARTINEZ
DAMAZO MARTINEZ
D'AMBROSIO TEODORO
DAPHNE NIARCHOS
DAVID FELDMAN
DAVID GEFFEN
DAVID H FELL
DAVID MORRIS
DE CULTURE GEORGES POMPIDOU
DE GUNZBURG CYRILLE
DE LAMAZE EDOUARD
DE LE RUE
DEBORAH MAYER
DELTROIT ASSET MANAGEMENT LIMITED
DESBUISSON NEVILLE
DEUTSCHE BANK
DEUTSCHE BANK INDIA
DEUTSCHE BANK INDIA BULLION
DIAMOND MANUFACTURERS LIMITED T/A VASHI.COM
DOMINICAN WATCHMAN NATIONAL/ S.A
DOUBLE DOUBLE 8 SAS
DR. CHAN BENG KUEN AND MS. TAN TZE GAY FTRR&I
DUBOIS VINCENT
DUCIT
DUTY FREE CARIBBEAN
EAMES FINE ART
EASIMINE GROUP OF COMPANIES - PAWNBROKERS
ECO BANK SOUTH SUDAN
ECOBANK SOUTH SUDAN
EISINORE
ELEKTON WATCHES
ELIKA S.A.
ELSINORE HOLDINGS LTD
EMR HOLDINGS
ENESEL S.A.
EPMO - MUSEE D'ORSAY
EQUITY BANK DRC
EREDI COLNAGHI
ERMENEGILDA MORATTI
EROS CO LTD
EROS COMPANY LTD
ERSTE GROUP
ESTAÇÃO VIP SEGURANÇA PRIVADA EIRELI
ESTHER AND JONATHAN ZUHOVITZKY
EUGENIO LOPEZ
EUROPEAN ART AG/GREGORY JANKILEVITSCH
EUROPEAN INVESTMENT BANK
EVANGELINE HERSAINT - BALTHUS PAINTING
EVERGREEN MAXCASH CAPITAL BERHAD
EXPRESS ARRIVAL SERVICE LIMITED
F.D. GOLD
FAGGI
FAGGI ENRICO SPA
FAL - BAZHENOVA CONSOLIDATED LOAN
FAR EAST MONEY EXCHANGE LIMITED
FARRAS SOLE
FEDIER MARINA
FELIPE CUSTER
FELIX MARCILHAC & HELENE BAILLY
FERRAGUTI MATHIEU
FIDELITY SECURITY GROUP
FINE & RARE WINES LTD
FINE ART ADVISOR SAS
FINE ART LUXEMBOURG
FINE ART LUXEMBOURG - JHB ART HOLDINGS
FINE ART STORAGE SERVICES PTE LTD
FIRST LUXURY PTE LTD
FIRST NATIONAL BANK
FISHER ASSET MANAGEMENT/ LLC
FONDATION EMERIGE
FONDAZIONE BUCCELLATI GIANMARIA
FONELLI
FOONG CAPITAL TRADING SDN BHD
FOUNDATION LOUIS VUITTON
FRANCES REYNOLDS
FRANCESCA MORATTI
FRANCOISE SAS
FRATELLI PISA
FREDERICK ISEMAN
FREDERICK R WEISMAN ART FOUNDATION
FROJO SAS & SELINE HOLDING
FUBON ART FOUNDATION/ UDNFUNLIFE CO./ LTD. AND KRÖLLER-MÜLLER MUSEUM
FUBON LIFE INSURANCE CO./ LTD / FUBON ART FOUNDATION / SUNWAY EXPRESS CO./ LTD TAIWAN
FUBON LIFE INSURANCE CO./LTD. SUNWAY EXPRESS CO./ LTD
FURST VON LIECHENSTEIN - HK EXHIBITION
G COLLINS AND SONS LTD
G KHAKSOURI
GABRIELE NISSIM
GAD INTERNATIONAL
GAGOSIAN GALLERY
GALERIE ALEXIS LARTIGUE SARL
GALERIE CALDERONE SARL
GALERIE DOWNTOWN
GALERIE LA SAS
GALERIE LELONG SA
GALERIE TRAITS NOIRS
GANNON & SCOTT
GARFIELD REFINING LLC
GAUDIUM ASSOCIATES
GAY ERICK & CATHERINE
GENEVA MASTER TIME MARKETING LLP
GENTING MALAYSIA SDN BHD AND NEW CROCKFORDS HOTEL
GEOJET LTD
GERARD BUTLER
GERARD PARSKY
GIANNI PREVOSTI
GIBNER SCOTT & TRACY
GIBNER SCOTT TRACY
GIDISH
GLOBAL GESSORI
GOLD CORP
GOLD FIELDS
GOLDBELL ENGINEERING PTE LTD
GOLDEN RAY CAPITAL INTERNATIONAL LIMITED
GOLDEN SEAL CORP / FRIEDLAND ART
GOLDMAN SACHS $450M X $50M
GRAFF DIAMONDS
GRAFF DIAMONDS HOLDINGS LTD
GREG RENKER
GRIMALDI FORUM
GSA (GUARDING AND SERVICES FOR AFRICA)
GSW ARENA LLC
GUARDIAN VAULTS
GUARDSMAN ARMORED
GUARDSMAN PRIMARY $150M
GUARDSMAN XS LAYER
GUGLIELMI ELIO
GULF PROPERTIES
GULF PROPERTIES LTD
GURR JOHNS CAPITAL - SPRING TRUST
GURR JOHNS CAPITAL CREDIT PARTNERS DELAWARE
GUSTAV KLIMT EXHIBITION
HADJADJEBA LIONEL
HCL NADAR MUSEUM OF ART
HELING SAS
HELU-TRANS ASIA PACIFIC (S) PTE LTD
HELVETIOR
HENRI HARSCH HH SA CHF 50M XS CHF 80M
HERITAGE CANNABIS HOLDING CORP
HERMITAGE FINE ART
HISCOX GUERNSEY
HOPETOUN HOUSE PRESERVATION TRUST
HOSKING PARTNERS LLP
HTB AXIS
HUARPE SEGURIDAD INTEGRAL
HUGH M. MOSS AND LEE XUEMEI BLOSSOM
HW WOOD EXCESS CONTRACT
IBERTALY
IBI INTERNATIONAL LOGISTICS AUSTRALIA
IBI INTERNATIONAL LOGISTICS INC
ICBC STANDARD BANK PLC
ICICI BANK LIMITED
ICYMI SASU
IDBI BANK
IGOR & ANASTASIA BUKHMAN
IMPERIAL ART (TB CONSEIL)
INDIVISION CHARDEAU
INDIVISION DUMONTEIL
INDUSTRIAL & COMMERCIAL BANK OF CHINA (MACAU) LTD
INDUSTRIAL & COMMERCIAL BANK OF CHINA (MACAU) LTD - ATM
INSIGHT INVESTMENT MANAGEMENT LIMITED
ISHAIA
ISHTARA JEWELLERY PTE LTD
ISPARKLE
ISRAEL SYMPHONY ORCHESTA RISHON LEZION
ITOGON SUYOC RESOURCES
J & J LTD
J D MALAT
JACMEL JEWELRY INC
JACOB
JAMES IOVINE
JAMIE & REBEKAH VARDY
JEAN PIERRE SLAVIC
JEAN-LUC BARONI
JEWEL UK TOPCO / AURUM HOLDINGS
JJN LTD - VAULT 4
JJN LTD VAULT 22
JK LOGIX
JOAN BORINSTEIN
JOHN BULL
JOHN PRITZKER COLLECTION
JORDI ROCA JOIERS
JOSE SANGIL
JOSEPH AMBALU
JOYCE AND LISA RUEBEN
JOYCE REUBEN
JOYCE REUBEN & LISA REUBEN
KADDOUCH
KAREN BECHTEL
KARRY BERREBI GALLERY SARL
KENNETH C GRIFFIN
KEVIN BRIGHT
KIC INVENTORIES
KIM TSCHANG-YEUL ART MUSEUM (JEJU ISLAND/ SOUTH KOREA)
KOHLER & CORINPHILA
KOPERASI ANGKATAN TENTERA MALAYSIA BERHAD
KOPERASI CO-OPBANK PERTAMA MALAYSIA BERHAD
KOPERASI CO-OPBANK PERTAMA MALAYSIA BERHAD.
KOPERASI KAKITANGAN KUMPULAN BIMB HOLDINGS MALAYSIA
KOPERASI KAKITANGAN PETRONAS BERHAD - AMPANG
KOPERASI KAKITANGAN PETRONAS BERHAD - BANGI
KOPERASI KAKITANGAN PETRONAS BERHAD - RAWANG
KOPERASI KAKITANGAN PETRONAS BERHAD - SUNGAI BESI
KOPERASI KAKITANGAN PETRONAS BERHAD (KOPETRO)
KOPERASI KEMAS TERENGGANU (KO-KEMAS) BHD
KOPERASI PELABURAN KAKITANGAN BANK MUAMALAT MALAYSIA BERHAD - BANDAR BARU BANGI
KOPERASI PELABURAN KAKITANGAN BANK MUAMALAT MALAYSIA BERHAD - SELAYANG
KOPERASI PELABURAN KAKITANGAN BANK MUAMALAT MALAYSIA BERHAD - TAMAN TAMING JAYA
KOPERASI PELABURAN K'TANGAN BANK MUAMALAT BERHAD - BANGI
KOPERASI PELABURAN K'TANGAN BANK MUAMALAT BERHAD - INDAH
KOPERASI PELABURAN K'TANGAN BANK MUAMALAT BERHAD - SETIA ALAM
KOPERASI PELABURAN K'TANGAN BANK MUAMALAT BERHAD - SETIA ALAM (AR-RAHNU)
KOPERASI PERMODALAN FELDA MALAYSIA BERHAD
KOPERASI POLIS DIRAJA MALAYSIA BERHAD - BANGI
KOPERASI POLIS DIRAJA MALAYSIA BERHAD - GOMBAK
KOPERASI POLIS DIRAJA MALAYSIA BERHAD - SHAH ALAM
KOPERASI SAHABAT AMANAH IKHTIAR MALAYSIA BERHAD
KOPERASI SERBAGUNA KAKITANGAN MAS MALAYSIA BERHAD
KOPERASI TENAGA NASIONAL BERHAD
KOPERASI WARGA PENDIDIKAN TERENGGANU BERHAD
LA MODE EN IMAGE
LARRY ELLISON
LAURA COLNAGHI
LAURENT ASSCHER
LAUVINERIE CONSTANCE
LAVELLE LIBRARY COMPANY LIMITED AND/OR RYUU ART LIMITED
LAZINC GALLERY
LEFEBVRE ET FILS SARL
LEMOS FAMILY
LEONE MANFREDINI
LES ARTS FLORISSANTS
LES ENLUMINURES LTD
LES ENLUMINURES LTD 401 (K) PROFIT SHARING PLAN
LES MESSAGERS INC.
LEVIAN
LIAULT ALAIN
LIMITED TIME SA
LINDER JEAN-CHRISTOPHE
LINFOX ARMAGUARD A$450M X A$1.05BN
LINFOX GROUP A$450M X A$1.05BN
LITTLE SWITZERLAND
LIU QIANGDONG
LIU’S COMMERCE & INDUSTRY LTD
LOGISTIKAZ
LONE STAR USGB SHIPPING
LONMAR 100% LINESLIPS
LOOMIS XS $2.2BN
LOUIS 19 SARL
LOUIS VUITTON - ROTHKO EXHIBITION
LOVE OF ART
