Category,% of SI
ROV,0.014182901764543182
AUV - Normal operation,0.021265951757777745
AUV - Launch & Recovery,0.05469765913920629
Seismic - Towed,0.010468941819380314
Seismic - Ocean Bottom,0.010468941819380314
Subs,0.027920533618801414
Other,0.00432962592345966
