location,factor
"Asia (Japan, Hong Kong, Singapore & India)",0.195
Australia/ New Zealand,0.13
EU-27 countries (+ Switzerland),0.13
Latin America,0.26
"Middle East and Africa (UAE, Israel, South Africa, Turkey, and Saudi)",0.2275
North America,0.39
Rest Of Asia (East Asia/SE Asia),0.26
Rest of Middle East & Africa,0.325
Russia/ Central Asia/ Former CIS states,0.325
