revenue_band,factor
0,1
500000,1
750000,0.95
1250000,0.9
1750000,0.85
2250000,0.8
2750000,0.75
3250000,0.7
3750000,0.65
4250000,0.6
4750000,0.55
5500000,0.52
6375000,0.49
7125000,0.475
8750000,0.43
12500000,0.41
17500000,0.4
25000000,0.35
40000000,0.3
62500000,0.25
87500000,0.225
100000000,0.23
150000000,0.19
200000000,0.16
250000000,0.14
500000000,0.1
5000000000,0.086
