experience,min,max,default
No claim activity,0.65,1,1
Claim activity with little severity or frequency,0.65,1,1
Moderate claim activity,1.01,1.1,1.1
Frequent claim activity,1.11,1.65,1.3
Severe claim activity,1.11,1.65,1.3
