year,rate_change
2025,1.05
2024,1.05
2023,1.05
2022,1.05
2021,1.103403586
2020,1.204807859
2019,1.18037025
2018,1.172251016
2017,1.008890642
2016,0.940893468
2015,0.928836461
2014,0.941810834
2013,1.004234475
2012,1.072069538
2011,1.048965848
2010,0.942229445
2009,1.087095986
2008,0.90945563
2007,0.941728789
2006,1.26482401
2005,0.975217856
2004,0.894490635
2003,0.998099432
2002,1.209695831
2001,1.312811891
2000,1.11759723
