revenue,lower_1,upper_1,lower_2,upper_2,lower_3,upper_3,lower_4,upper_4,lower_5,upper_5,lower_6,upper_6,next
0,84,169,169,338,338,675,506,1013,624,1249,844,1688,50000
50000,169,253,338,506,675,1013,1013,1519,1249,1873,1688,2531,100000
100000,253,338,506,675,1013,1350,1519,2025,1873,2498,2531,3375,150000
150000,338,422,675,844,1350,1688,2025,2531,2498,3122,3375,4219,200000
200000,422,548,844,1097,1688,2194,2531,3291,3122,4058,4219,5484,300000
300000,548,633,1097,1266,2194,2531,3291,3797,4058,4683,5484,6328,400000
400000,633,717,1266,1434,2531,2869,3797,4303,4683,5307,6328,7172,500000
500000,717,1139,1434,2278,2869,4556,4303,6834,5307,8429,7172,11391,1000000
1000000,1139,1814,2278,3628,4556,7256,6834,10884,8429,13424,11391,18141,2000000
2000000,1814,2489,3628,4978,7256,9956,10884,14934,13424,18419,18141,24891,3000000
3000000,2489,3080,4978,6159,9956,12319,14934,18478,18419,22790,24891,30797,4000000
4000000,3080,3670,6159,7341,12319,14681,18478,22022,22790,27160,30797,36703,5000000
5000000,3670,4177,7341,7712,14681,15127,22022,23136,27160,28534,36703,38559,6000000
6000000,4177,4683,7712,8083,15127,15572,23136,24249,28534,29908,38559,40416,7000000
7000000,4683,5189,8083,8448,15572,16010,24249,25343,29908,31256,40416,42238,8000000
8000000,5189,5695,8448,8805,16010,16439,25343,26416,31256,32580,42238,44027,9000000
9000000,5695,6202,8805,9163,16439,16868,26416,27489,32580,33904,44027,45816,10000000
10000000,6202,10420,9163,12538,16868,20918,27489,37614,33904,46391,45816,62691,20000000
20000000,10420,13458,12538,15441,20918,24415,37614,46322,46391,57180,62691,77271,30000000
30000000,13458,15989,15441,17864,24415,27329,46322,52241,57180,66014,77271,89421,40000000
40000000,15989,18014,17864,19808,27329,29662,52241,55372,66014,72891,89421,99141,50000000
50000000,18014,20679,19808,24432,29662,35162,55372,62367,72891,79969,99141,103554,100000000
100000000,20679,22417,24432,27622,35162,38840,62367,66861,79969,84424,103554,106227,150000000
150000000,22417,23738,27622,30135,38840,41681,66861,70245,84424,87734,106227,108165,200000000
200000000,23738,24816,30135,32241,41681,44026,70245,72987,87734,90391,108165,109692,250000000
250000000,24816,25733,32241,34070,44026,46041,72987,75307,90391,92621,109692,110956,300000000
300000000,25733,26534,34070,35697,46041,47816,75307,77326,92621,94550,110956,112036,350000000
350000000,26534,27249,35697,37170,47816,49408,77326,79119,94550,96253,112036,112980,400000000
400000000,27249,27895,37170,38519,49408,50857,79119,80735,96253,97780,112980,113819,450000000
450000000,27895,28486,38519,39767,50857,52189,80735,82208,97780,99167,113819,114575,500000000
500000000,28486,29032,39767,40931,52189,53424,82208,83564,99167,100439,114575,115264,550000000
550000000,29032,29539,40931,42023,53424,54577,83564,84821,100439,101614,115264,115896,600000000
600000000,29539,30013,42023,43054,54577,55659,84821,85994,101614,102708,115896,116480,650000000
650000000,30013,30459,43054,44030,55659,56681,85994,87095,102708,103730,116480,117024,700000000
700000000,30459,30880,44030,44960,56681,57648,87095,88132,103730,104692,117024,117532,750000000
750000000,30880,31280,44960,45847,57648,58569,88132,89114,104692,105599,117532,118010,800000000
800000000,31280,31659,45847,46696,58569,59446,89114,90046,105599,106458,118010,118460,850000000
850000000,31659,32022,46696,47511,59446,60286,90046,90934,106458,107275,118460,118887,900000000
900000000,32022,32368,47511,48294,60286,61091,90934,91781,107275,108053,118887,119291,950000000
950000000,32368,32700,48294,49050,61091,61865,91781,92593,108053,108797,119291,119676,1000000000
1000000000,32700,32700,49050,49050,61865,61865,92593,92593,108797,108797,119676,119676,1000000000
