liability_limits_eec,product_liability_limits_agg,liability_limits_agg,personal_advertising_liability_eec,overall_agg,min_premium
250000,250000,250000,250000,250000 / 250000 / 250000 / 250000,5000
500000,500000,500000,500000,500000 / 500000 / 500000 / 500000,7500
1000000,1000000,1000000,1000000,1000000 / 1000000 / 1000000 / 1000000,10000
2000000,2000000,2000000,2000000,2000000 / 2000000 / 2000000 / 2000000,15000
3000000,3000000,3000000,3000000,3000000 / 3000000 / 3000000 / 3000000,20000
4000000,4000000,4000000,4000000,4000000 / 4000000 / 4000000 / 4000000,25000
5000000,5000000,5000000,5000000,5000000 / 5000000 / 5000000 / 5000000,30000
