additional_defense_lower,additional_defense_upper,debit
0,250000,0
250000,500000,0.06
500000,750000,0.12
750000,1000000,0.17
1000000,2000000,0.2
2000000,3000000,0.2175
3000000,4000000,0.2275
4000000,5000000,0.235
5000000,5000000,0.24
