excess,factor
1000000,0.3
2000000,0.325
3000000,0.35
4000000,0.38
5000000,0.4
6000000,0.44
7000000,0.48
8000000,0.52
9000000,0.56
10000000,0.6
11000000,0.61
12000000,0.62
13000000,0.63
14000000,0.64
15000000,0.65
16000000,0.66
17000000,0.67
18000000,0.68
19000000,0.69
20000000,0.7
21000000,0.71
22000000,0.72
23000000,0.73
24000000,0.74
25000000,0.75
26000000,0.76
27000000,0.77
28000000,0.78
29000000,0.79
30000000,0.8
