liability_limits,factor,min_prem_factor
0,0.3,0.6
250000,0.3,0.8
500000,0.6,1
1000000,0.92,2
2000000,1.4,3
3000000,1.55,4
4000000,1.7,5
5000000,1.86,5.4
6000000,1.973895236,5.65
7000000,2.059032656,5.85
8000000,2.132782045,5.95
9000000,2.197833615,6.030732841
10000000,2.256024228,6.653099982
15000000,2.474953193,7.437189851
25000000,2.766634625,8.501133507
50000000,3.162421665,9.565077163
100000000,3.558208705,9.565077163
500000000,4,9.565077163
