business_plan_class,year,che,var_exp,fixed_exp,cost_of_ri,ri_rec,inv_inc,capital_req,roc,nmp_load
US D&O,2024,0.020485291,0.148751231,3980.015521,0.117091454,0.094188155,0.121311634,1.357030435,0.15,0.030503714
US E&O,2024,0.009812146,0.100871121,4981.584933,0.173625083,0.110264014,0.083322222,0.823528445,0.15,0.040247199
US EPL,2024,0.020485291,0.160238607,2450.35215,0.05554382,0.042316352,0.129768279,0.979401058,0.15,0.032426448
US Hospitals,2024,0.020485291,0.1090761,1172.071313,0.593823514,0.531575862,0.055808649,0.522749138,0.15,0.027496866
US Life Sciences,2024,0.020485291,0.139357716,2399.509127,0.113211745,0.091524745,0.121844706,0.91959942,0.15,0.030036534
US Misc Med,2024,0.020485291,0.144384222,3988.748403,0.062150899,0.042803276,0.128860466,0.972549517,0.15,0.038115325
US Property,2024,0.004764006,0.111692377,4009.331421,0.185044627,0.095197672,0.070524984,0.539913472,0.15,0.041008584
US Safeguard,2024,0.020485291,0.149678052,1283.317832,0.051937832,0.037026879,0.130263742,0.983140468,0.15,0.036265961
US Specialty Programmes,2024,0.020485291,0.125973371,106.5530643,0.04020531,0.028572862,0.13187579,0.995307094,0.15,0.034781603
US Tech,2024,0.006294526,0.215116421,159.1454366,0.03044035,0.012171512,0.133620529,0.855161208,0.15,0.051851482
War,2024,0.009559386,0.078061018,585.2087301,0.13654879,0.064373723,0.073443458,1.082852165,0.15,0.050420168
