agg_limit_ratio_lower,agg_limit_ratio_upper,factor_lower,factor_upper
1,1.5,1,1.0372
1.5,1.6667,1.0372,1.0431
1.6667,2,1.0431,1.0605
2,2.5,1.0605,1.0795
2.5,3,1.0795,1.0955
3,4,1.0955,1.1126
4,5,1.1126,1.1266
5,5,1.1266,1.1266
