x_lower,x_upper,minimum_prem,list_item
0,250000,6000,"$250,000 and below"
250000,500000,6000,500000
500000,750000,6000,750000
750000,1000000,6000,1000000
1000000,2000000,6000,2000000
2000000,3000000,6000,3000000
3000000,4000000,6000,4000000
4000000,5000000,10000,5000000
5000000,6000000,12000,6000000
6000000,7000000,14000,7000000
7000000,8000000,16000,8000000
8000000,9000000,18000,9000000
9000000,999999999,20000,10000000
