name,factor
priced_to_lr,0.7
model_brokerage,0.2
model_brokerage_gl,0.25
eo_reinstatement,1.2
eo_fees_scale_benchmark,1000000
eo_fees_scale_1,0.01
eo_fees_scale_2,0.005
eo_territory_scale,1000
mediatech_total_schedule_min,-0.5
mediatech_total_schedule_max,0.5
mediatech_eeclimit_cap,15000000
mediatech_eeclimit_floor,100000
mediatech_agg_to_eec_ratio_cap,5
eo_fees_max,50000000
mediatech_revenue_max,100000000
gl_dol_default_limit,1000000
gl_uw_adjustment_min,-0.25
gl_uw_adjustment_max,0.25
