x_lower,x_upper,y_lower,y_upper
0,125000,0,0
125000,250000,0,5
250000,375000,5,7.5
375000,500000,7.5,10
500000,625000,10,12.5
625000,750000,12.5,15
750000,875000,15,17.5
875000,1000000,17.5,20
1000000,2000000,20,40
2000000,3000000,40,50
3000000,4000000,50,57
4000000,5000000,57,61
5000000,10000000,61,71
10000000,25000000,71,80
25000000,50000000,80,85
50000000,50000000,85,85
