Name,Mode,CDS level,Coverage,Relative path,Rater Defined?,Type,Default,Label hx,,,,,,,
midpt,Output,cds/layers,,/midpt,Y,float,,MIDPT,,,,,,,
warnings,Output,cds/layers,,/warnings,Y,str,,Warnings,,,,,,,
knowledge_of_insured,Input,cds,,/policy_info/rationale/knowledge_of_insured,Y,str,,Knowledge of the Insured,,,,"""project_name"": hx.Str(mode=""input"", default=None, optionality=""optional"", view={""label"": ""Project Name""}),","""knowledge_of_insured""",,
portfolio_fit,Input,cds,,/policy_info/rationale/portfolio_fit,Y,str,,Portfolio Fit & Basis of Risk Selection,,,,,,,
complex_considerations,Input,cds,,/policy_info/rationale/complex_considerations,Y,str,,Unusual Or Complex Considerations,,,,,,,
facts_affecting_decision,Input,cds,,/policy_info/rationale/facts_affecting_decision,Y,str,,Facts Affecting Decision,,,,,,,
premium_term,Input,cds,,/eso/premium_term,Y,float,,Term Premium Figure Gross,,,,,,,
exposure_limits,Input,cds,,/eso/exposure_limits,Y,float,,Exposure Limits,,,,,,,
term,Input,cds,,/eso/term,Y,str,,Term,,,,,,,
overlining,Input,cds,,/eso/overlining,Y,str,,Over Lining (Total Exposure),,,,,,,
cob,Input,cds,,/eso/cob,Y,str,,Unauthorised COB or MOP,,,,,,,
authorising_comments,Input,cds,,/eso/authorising_comments,Y,str,,Amount Authorising/Further Comments,,,,,,,
authorising_comments_info,Output,cds,,/eso/authorising_comments_info,Y,str,,,,,,,,,
section_references,Input,cds,,/eso/section_references,Y,str,,Policy Reference (if multiple),,,,"""",""": hx.Str(mode=""input"", default=None, view={""label"": ""","""}),","""section_references"": hx.Str(mode=""input"", default=None, view={""label"": ""Policy Reference (if multiple)""}),"
policy_reference_3,Input,cds,,/eso/policy_reference_3,Y,str,,Policy Reference (if multiple),,,,"""",""": hx.Str(mode=""input"", default=None, view={""label"": ""","""}),","""policy_reference_3"": hx.Str(mode=""input"", default=None, view={""label"": ""Policy Reference (if multiple)""}),"
bind_date,Input,cds,,/eso/bind_date,Y,date,,Bind Date,,,,"""",""": hx.Str(mode=""input"", default=None, view={""label"": ""","""}),","""bind_date"": hx.Str(mode=""input"", default=None, view={""label"": ""Bind Date""}),"
authoriser,Input,cds,,/eso/authoriser,Y,str,,Authoriser Name,,,,"""",""": hx.Str(mode=""input"", default=None, view={""label"": ""","""}),","""authoriser"": hx.Str(mode=""input"", default=None, view={""label"": ""Authoriser Name""}),"
authoriser_authority,Input,cds,,/eso/authoriser_authority,Y,float,,Authoriser's Authority Limit,,,,"""",""": hx.Str(mode=""input"", default=None, view={""label"": ""","""}),","""authoriser_authority"": hx.Str(mode=""input"", default=None, view={""label"": ""Authoriser's Authority Limit""}),"
authorisation_date,Input,cds,,/eso/authorisation_date,Y,str,,Date of Authorisation,,,,,,,
eso_info,Output,cds,,/eso/info,Y,str,,,,,,,,,
