Version,Benchmark Class,Year,Value
11,BPS - BBR,2006,1.024927899
11,BPS - BBR,2007,0.956301241
11,BPS - BBR,2008,0.941442076
11,BPS - BBR,2009,0.993515858
11,BPS - BBR,2010,0.998523014
11,BPS - BBR,2011,1.002816167
11,BPS - BBR,2012,1.043338741
11,BPS - BBR,2013,1.010255274
11,BPS - BBR,2014,1.00033074
11,BPS - BBR,2015,0.952824156
11,BPS - BBR,2016,0.970194697
11,BPS - BBR,2017,1.162285214
11,BPS - BBR,2018,1
11,BPS - BBR,2019,0.988772553
11,BPS - BBR,2020,0.994923447
11,BPS - BBR,2021,1
11,BPS - BBR,2022,1.030685881
11,BPS - BBR,2023,1
11,BPS - BBR,2024,1
11,BPS - BBR,2025,1
11,BPS - BBR,2026,1
11,BPS - BBR,2027,1
11,BPS - BBR,2028,1
11,BPS - BBR,2029,1
11,BPS - BBR,2030,1
11,Cargo,2000,0.971930811
11,Cargo,2001,1.120751263
11,Cargo,2002,1.206182686
11,Cargo,2003,1.120534496
11,Cargo,2004,1.018399841
11,Cargo,2005,1.044055399
11,Cargo,2006,1.09367341
11,Cargo,2007,0.937581189
11,Cargo,2008,0.939365453
11,Cargo,2009,1.101951204
11,Cargo,2010,0.975666269
11,Cargo,2011,1.010854134
11,Cargo,2012,1.006278952
11,Cargo,2013,0.97407086
11,Cargo,2014,0.932467238
11,Cargo,2015,0.911346828
11,Cargo,2016,0.926426236
11,Cargo,2017,0.974474058
11,Cargo,2018,1.025641022
11,Cargo,2019,1.093527321
11,Cargo,2020,1.044357456
11,Cargo,2021,1.06519
11,Cargo,2022,1.032961757
11,Cargo,2023,0.979010727
11,Cargo,2024,0.979010727
11,Cargo,2025,0.979010727
11,Cargo,2026,0.979010727
11,Cargo,2027,0.979010727
11,Cargo,2028,0.979010727
11,Cargo,2029,0.979010727
11,Cargo,2030,0.979010727
11,Commercial Crime,2000,1.018084298
11,Commercial Crime,2001,1.412000955
11,Commercial Crime,2002,1.527343631
11,Commercial Crime,2003,1.30176335
11,Commercial Crime,2004,0.980465589
11,Commercial Crime,2005,0.98779399
11,Commercial Crime,2006,0.93487413
11,Commercial Crime,2007,0.922565446
11,Commercial Crime,2008,0.924375413
11,Commercial Crime,2009,0.990371128
11,Commercial Crime,2010,0.948347865
11,Commercial Crime,2011,0.972158181
11,Commercial Crime,2012,0.980480426
11,Commercial Crime,2013,1.042826865
11,Commercial Crime,2014,0.98266797
11,Commercial Crime,2015,0.953255939
11,Commercial Crime,2016,0.99336484
11,Commercial Crime,2017,0.990725687
11,Commercial Crime,2018,0.884440044
11,Commercial Crime,2019,0.969616207
11,Commercial Crime,2020,1.035973275
11,Commercial Crime,2021,1.048232017
11,Commercial Crime,2022,1.02794565
11,Commercial Crime,2023,1
11,Commercial Crime,2024,1
11,Commercial Crime,2025,1
11,Commercial Crime,2026,1
11,Commercial Crime,2027,1
11,Commercial Crime,2028,1
11,Commercial Crime,2029,1
11,Commercial Crime,2030,1
11,Contingency,2000,1.07781328
11,Contingency,2001,1.113106187
11,Contingency,2002,1.403547631
11,Contingency,2003,1.074245857
11,Contingency,2004,1.00957436
11,Contingency,2005,1.008862237
11,Contingency,2006,0.96056966
11,Contingency,2007,0.953887151
11,Contingency,2008,0.973252184
11,Contingency,2009,0.972640356
11,Contingency,2010,0.984290948
11,Contingency,2011,0.990222568
11,Contingency,2012,0.978959541
11,Contingency,2013,0.995334064
11,Contingency,2014,1.016077945
11,Contingency,2015,0.981350489
11,Contingency,2016,0.99748345
11,Contingency,2017,0.996519953
11,Contingency,2018,1.010842229
11,Contingency,2019,1.017846265
11,Contingency,2020,1.150866082
11,Contingency,2021,1.273960098
11,Contingency,2022,1.070444336
11,Contingency,2023,1
11,Contingency,2024,1
11,Contingency,2025,1
11,Contingency,2026,1
11,Contingency,2027,1
11,Contingency,2028,1
11,Contingency,2029,1
11,Contingency,2030,1
11,Covers,2000,1.006669117
11,Covers,2001,1.097695831
11,Covers,2002,1.267499416
11,Covers,2003,1.133463154
11,Covers,2004,1.04359844
11,Covers,2005,1.011011223
11,Covers,2006,1.105631353
11,Covers,2007,0.997466882
11,Covers,2008,0.902317113
11,Covers,2009,1.057707824
11,Covers,2010,0.992692814
11,Covers,2011,1.032541425
11,Covers,2012,1.066405132
11,Covers,2013,1.046946251
11,Covers,2014,1.006340365
11,Covers,2015,0.983142518
11,Covers,2016,0.967797068
11,Covers,2017,1.002532346
11,Covers,2018,1.028789241
11,Covers,2019,1.05460099
11,Covers,2020,1.074556624
11,Covers,2021,1.065379242
11,Covers,2022,1.058963131
11,Covers,2023,1.15
11,Covers,2024,1.15
11,Covers,2025,1.15
11,Covers,2026,1.15
11,Covers,2027,1.15
11,Covers,2028,1.15
11,Covers,2029,1.15
11,Covers,2030,1.15
11,Covers International,2000,1.006669117
11,Covers International,2001,1.097695831
11,Covers International,2002,1.267499416
11,Covers International,2003,1.133463154
11,Covers International,2004,1.04359844
11,Covers International,2005,1.011011223
11,Covers International,2006,1.105631353
11,Covers International,2007,0.997466882
11,Covers International,2008,0.902317113
11,Covers International,2009,1.057707824
11,Covers International,2010,0.992692814
11,Covers International,2011,1.032541425
11,Covers International,2012,1.066405132
11,Covers International,2013,1.046946251
11,Covers International,2014,1.006340365
11,Covers International,2015,0.983142518
11,Covers International,2016,0.967797068
11,Covers International,2017,1.002532346
11,Covers International,2018,1.028789241
11,Covers International,2019,1.05460099
11,Covers International,2020,1.074556624
11,Covers International,2021,1.065379242
11,Covers International,2022,1.058963131
11,Covers International,2023,1.15
11,Covers International,2024,1.15
11,Covers International,2025,1.15
11,Covers International,2026,1.15
11,Covers International,2027,1.15
11,Covers International,2028,1.15
11,Covers International,2029,1.15
11,Covers International,2030,1.15
11,D&O,2000,1.009024
11,D&O,2001,1.038626188
11,D&O,2002,1.335662962
11,D&O,2003,1.35039838
11,D&O,2004,0.895050481
11,D&O,2005,0.964908338
11,D&O,2006,0.92379341
11,D&O,2007,0.827258692
11,D&O,2008,0.9086112
11,D&O,2009,0.999410001
11,D&O,2010,0.878768904
11,D&O,2011,0.87034195
11,D&O,2012,1.000332348
11,D&O,2013,0.977716601
11,D&O,2014,0.933952025
11,D&O,2015,0.97431181
11,D&O,2016,0.965528573
11,D&O,2017,0.995224392
11,D&O,2018,1.059054546
11,D&O,2019,1.423570604
11,D&O,2020,1.493226024
11,D&O,2021,1.000228253
11,D&O,2022,0.912194448
11,D&O,2023,0.95
11,D&O,2024,0.95
11,D&O,2025,0.95
11,D&O,2026,0.95
11,D&O,2027,0.95
11,D&O,2028,0.95
11,D&O,2029,0.95
11,D&O,2030,0.95
11,D&O MM,2000,1.018084298
11,D&O MM,2001,1.412000955
11,D&O MM,2002,1.527343631
11,D&O MM,2003,1.30176335
11,D&O MM,2004,0.980465589
11,D&O MM,2005,0.98779399
11,D&O MM,2006,0.93487413
11,D&O MM,2007,0.922565446
11,D&O MM,2008,0.924375413
11,D&O MM,2009,0.990371128
11,D&O MM,2010,0.948347865
11,D&O MM,2011,0.951959765
11,D&O MM,2012,1.045633763
11,D&O MM,2013,1.125186178
11,D&O MM,2014,0.995695946
11,D&O MM,2015,0.858351075
11,D&O MM,2016,0.942052322
11,D&O MM,2017,0.965684761
11,D&O MM,2018,1.022056873
11,D&O MM,2019,1.310892204
11,D&O MM,2020,1.601443693
11,D&O MM,2021,1.032970108
11,D&O MM,2022,0.884760646
11,D&O MM,2023,0.9
11,D&O MM,2024,0.9
11,D&O MM,2025,0.9
11,D&O MM,2026,0.9
11,D&O MM,2027,0.9
11,D&O MM,2028,0.9
11,D&O MM,2029,0.9
11,D&O MM,2030,0.9
11,Digital Int Package,2000,1.026522811
11,Digital Int Package,2001,1.160006769
11,Digital Int Package,2002,1.212930586
11,Digital Int Package,2003,1.08465203
11,Digital Int Package,2004,1.035928987
11,Digital Int Package,2005,1.003636055
11,Digital Int Package,2006,0.987708191
11,Digital Int Package,2007,0.9645637
11,Digital Int Package,2008,0.968137419
11,Digital Int Package,2009,0.985282088
11,Digital Int Package,2010,1.002496505
11,Digital Int Package,2011,0.998721358
11,Digital Int Package,2012,1.039820718
11,Digital Int Package,2013,1.023769177
11,Digital Int Package,2014,1.018051893
11,Digital Int Package,2015,1.027785019
11,Digital Int Package,2016,1.036132486
11,Digital Int Package,2017,1.007306348
11,Digital Int Package,2018,1.008989259
11,Digital Int Package,2019,1.005540332
11,Digital Int Package,2020,1.033193221
11,Digital Int Package,2021,1.019520718
11,Digital Int Package,2022,1.040249265
11,Digital Int Package,2023,1.02
11,Digital Int Package,2024,1.02
11,Digital Int Package,2025,1.02
11,Digital Int Package,2026,1.02
11,Digital Int Package,2027,1.02
11,Digital Int Package,2028,1.02
11,Digital Int Package,2029,1.02
11,Digital Int Package,2030,1.02
11,Digital US Cyber,2000,1.018084298
11,Digital US Cyber,2001,1.412000955
11,Digital US Cyber,2002,1.527343631
11,Digital US Cyber,2003,1.30176335
11,Digital US Cyber,2004,0.980465589
11,Digital US Cyber,2005,0.98779399
11,Digital US Cyber,2006,0.93487413
11,Digital US Cyber,2007,0.922565446
11,Digital US Cyber,2008,0.924375413
11,Digital US Cyber,2009,0.990371128
11,Digital US Cyber,2010,0.948347865
11,Digital US Cyber,2011,0.951959765
11,Digital US Cyber,2012,1.045633763
11,Digital US Cyber,2013,1.059533422
11,Digital US Cyber,2014,1.018121001
11,Digital US Cyber,2015,1.084862362
11,Digital US Cyber,2016,1.023685777
11,Digital US Cyber,2017,0.997685853
11,Digital US Cyber,2018,0.978961329
11,Digital US Cyber,2019,0.995764815
11,Digital US Cyber,2020,1.089903688
11,Digital US Cyber,2021,1.898034917
11,Digital US Cyber,2022,1.416106088
11,Digital US Cyber,2023,1.05
11,Digital US Cyber,2024,1.05
11,Digital US Cyber,2025,1.05
