Version,RateType,YOA,Currency,ExchangeRate,Unique Identifier
11,PIM,1993,CAD,2.1,1993CAD
11,PIM,1993,GBP,1.0,1993GBP
11,PIM,1993,USD,1.75,1993USD
11,PIM,1994,CAD,1.95,1994CAD
11,PIM,1994,GBP,1.0,1994GBP
11,PIM,1994,USD,1.6,1994USD
11,PIM,1995,CAD,1.92,1995CAD
11,PIM,1995,GBP,1.0,1995GBP
11,PIM,1995,USD,1.55,1995USD
11,PIM,1996,CAD,2.1,1996CAD
11,PIM,1996,GBP,1.0,1996GBP
11,PIM,1996,USD,1.58,1996USD
11,PIM,1997,CAD,2.07,1997CAD
11,PIM,1997,GBP,1.0,1997GBP
11,PIM,1997,USD,1.55,1997USD
11,PIM,1998,CAD,2.15,1998CAD
11,PIM,1998,GBP,1.0,1998GBP
11,PIM,1998,USD,1.61,1998USD
11,PIM,1999,CAD,2.2,1999CAD
11,PIM,1999,GBP,1.0,1999GBP
11,PIM,1999,USD,1.6,1999USD
11,PIM,2000,CAD,2.37,2000CAD
11,PIM,2000,GBP,1.0,2000GBP
11,PIM,2000,USD,1.63,2000USD
11,PIM,2001,CAD,2.36,2001CAD
11,PIM,2001,GBP,1.0,2001GBP
11,PIM,2001,USD,1.64,2001USD
11,PIM,2002,CAD,2.27,2002CAD
11,PIM,2002,GBP,1.0,2002GBP
11,PIM,2002,USD,1.55,2002USD
11,PIM,2003,CAD,2.28,2003CAD
11,PIM,2003,GBP,1.0,2003GBP
11,PIM,2003,USD,1.5,2003USD
11,PIM,2004,CAD,2.38,2004CAD
11,PIM,2004,EUR,1.55,2004EUR
11,PIM,2004,GBP,1.0,2004GBP
11,PIM,2004,USD,1.56,2004USD
11,PIM,2005,CAD,2.42,2005CAD
11,PIM,2005,EUR,1.49,2005EUR
11,PIM,2005,GBP,1.0,2005GBP
11,PIM,2005,USD,1.74,2005USD
11,PIM,2006,CAD,2.37,2006CAD
11,PIM,2006,EUR,1.47,2006EUR
11,PIM,2006,GBP,1.0,2006GBP
11,PIM,2006,USD,1.86,2006USD
11,PIM,2007,CAD,2.06,2007CAD
11,PIM,2007,EUR,1.45,2007EUR
11,PIM,2007,GBP,1.0,2007GBP
11,PIM,2007,USD,1.85,2007USD
11,PIM,2008,CAD,2.13,2008CAD
11,PIM,2008,EUR,1.49,2008EUR
11,PIM,2008,GBP,1.0,2008GBP
11,PIM,2008,USD,2.01,2008USD
11,PIM,2009,CAD,2.02,2009CAD
11,PIM,2009,EUR,1.26,2009EUR
11,PIM,2009,GBP,1.0,2009GBP
11,PIM,2009,USD,1.99,2009USD
11,PIM,2010,CAD,1.91,2010CAD
11,PIM,2010,EUR,1.17,2010EUR
11,PIM,2010,GBP,1.0,2010GBP
11,PIM,2010,USD,1.65,2010USD
11,PIM,2011,CAD,1.59,2011CAD
11,PIM,2011,EUR,1.22,2011EUR
11,PIM,2011,GBP,1.0,2011GBP
11,PIM,2011,USD,1.5,2011USD
11,PIM,2012,CAD,1.55,2012CAD
11,PIM,2012,EUR,1.11,2012EUR
11,PIM,2012,GBP,1.0,2012GBP
11,PIM,2012,USD,1.61,2012USD
11,PIM,2013,CAD,1.6,2013CAD
11,PIM,2013,EUR,1.24,2013EUR
11,PIM,2013,GBP,1.0,2013GBP
11,PIM,2013,USD,1.57,2013USD
11,PIM,2014,CAD,1.6,2014CAD
11,PIM,2014,EUR,1.17,2014EUR
11,PIM,2014,GBP,1.0,2014GBP
11,PIM,2014,USD,1.52,2014USD
11,PIM,2015,CAD,1.82,2015CAD
11,PIM,2015,EUR,1.25,2015EUR
11,PIM,2015,GBP,1.0,2015GBP
11,PIM,2015,USD,1.71,2015USD
11,PIM,2016,CAD,1.96,2016CAD
11,PIM,2016,EUR,1.41,2016EUR
11,PIM,2016,GBP,1.0,2016GBP
11,PIM,2016,USD,1.57,2016USD
11,PIM,2017,CAD,1.74,2017CAD
11,PIM,2017,EUR,1.21,2017EUR
11,PIM,2017,GBP,1.0,2017GBP
11,PIM,2017,USD,1.34,2017USD
11,PIM,2018,CAD,1.69,2018CAD
11,PIM,2018,EUR,1.14,2018EUR
11,PIM,2018,GBP,1.0,2018GBP
11,PIM,2018,USD,1.3,2018USD
11,PIM,2019,CAD,1.74,2019CAD
11,PIM,2019,EUR,1.13,2019EUR
11,PIM,2019,GBP,1.0,2019GBP
11,PIM,2019,USD,1.32,2019USD
11,PIM,2020,CAD,1.66,2020CAD
11,PIM,2020,EUR,1.12,2020EUR
11,PIM,2020,GBP,1.0,2020GBP
11,PIM,2020,USD,1.27,2020USD
11,PIM,2021,CAD,1.68,2021CAD
11,PIM,2021,EUR,1.1,2021EUR
11,PIM,2021,GBP,1.0,2021GBP
11,PIM,2021,USD,1.24,2021USD
11,PIM,2022,CAD,1.71,2022CAD
11,PIM,2022,EUR,1.16,2022EUR
11,PIM,2022,GBP,1.0,2022GBP
11,PIM,2022,USD,1.38,2022USD
11,PIM,2023,CAD,1.71,2023CAD
11,PIM,2023,EUR,1.16,2023EUR
11,PIM,2023,GBP,1.0,2023GBP
11,PIM,2023,USD,1.38,2023USD
11,PIM,2024,CAD,1.71,2024CAD
11,PIM,2024,EUR,1.16,2024EUR
11,PIM,2024,GBP,1.0,2024GBP
11,PIM,2024,USD,1.38,2024USD
11,PIM,2025,CAD,1.71,2025CAD
11,PIM,2025,EUR,1.16,2025EUR
11,PIM,2025,GBP,1.0,2025GBP
11,PIM,2025,USD,1.38,2025USD
11,PIM,2026,CAD,1.71,2026CAD
11,PIM,2026,EUR,1.16,2026EUR
11,PIM,2026,GBP,1.0,2026GBP
11,PIM,2026,USD,1.38,2026USD
11,PIM,2027,CAD,1.71,2027CAD
11,PIM,2027,EUR,1.16,2027EUR
11,PIM,2027,GBP,1.0,2027GBP
11,PIM,2027,USD,1.38,2027USD
11,PIM,2028,CAD,1.71,2028CAD
11,PIM,2028,EUR,1.16,2028EUR
11,PIM,2028,GBP,1.0,2028GBP
11,PIM,2028,USD,1.38,2028USD
11,PIM,2029,CAD,1.71,2029CAD
11,PIM,2029,EUR,1.16,2029EUR
11,PIM,2029,GBP,1.0,2029GBP
11,PIM,2029,USD,1.38,2029USD
11,PIM,2030,CAD,1.71,2030CAD
11,PIM,2030,EUR,1.16,2030EUR
11,PIM,2030,GBP,1.0,2030GBP
11,PIM,2030,USD,1.38,2030USD
11,PIM,2031,CAD,1.71,2031CAD
11,PIM,2031,EUR,1.16,2031EUR
11,PIM,2031,GBP,1.0,2031GBP
11,PIM,2031,USD,1.38,2031USD
