Broker Name
ACN SERVICES LONDON LTD (T/A ACN INS BROKERS LONDON)
AGIRELA COURTAGE
ALEC FINCH LTD
ALSFORD PAGE & GEMS LTD
ALWEN HOUGH JOHNSON LTD
AMBANT LTD
AMBRIS LLP
AMWINS GLOBAL RISKS LTD
AON BENFIELD ITALIA S.P.A.
AON UK LTD
ARB INTERNATIONAL LTD
ARTHUR J GALLAGHER (UK) LTD
ASSURED PARTNERS LONDON LTD
ATL MARINE & ENERGY LIMITED
"BALLANTYNE BROKERS LTD, LONDON, UK"
BANNERMAN RENDELL LIMITED
BDB EUROPE SPRL
BDB LTD
BEACH & ASSOCIATES LTD
BELL AND CLEMENTS LTD
BESSO LIMITED
BISHOPSGATE INSURANCE BROKERS LTD
BMG INSURANCE BROKERS LTD
BMS GROUP LTD
BMS MEDIACION IBERIA CORREDURIA DE SEGUROS Y REASE
BPR XCHANGING BROKER
BRETTON WOODS INTERNATIONAL LTD
BROCKWELL CAPITAL LIMITED
BSIL FRANCE
BSIL GERMANY
BSOL SPAIN
BSOL UK
CARROLL & PARTNERS LTD
CBC UK LTD 
CHARLES TAYLOR BROKER SERVICES LTD
CHESTERFIELD INSURANCE BROKERS LTD (U/A) 
COGENT RESOURCES LTD
COLLINSON INSURANCE BROKERS LTD
COMPASS LONDON MARKETS LTD
CORRIE BAUCKHAM BATTS LTD
COSTERO BROKERS LTD
DASHWOOD BREWER & PHIPPS LTD
DECUS INSURANCE LTD
DIRECT INSURANCE GROUP PLC
EBA INSURANCE SERVICES LTD
ED BROKING
EDGE BROKERS (LONDON)
ES RISKS LIMITED
EVOLVE BROKERS LTD
FABER GLOBAL LTD
G DRIESSEN JR.RIJSWIJK B.V. (T/A CLEAR RISK INS BROKERS)
GENERAL & MEDICAL FINANCE LTD
GRIFFITHS & ARMOUR GLOBAL RISKS LTD
GRIFFITHS & ARMOUR GLOBLA RISKS LTD
GUEST KRIEGER LTD
H W WOOD LIMITED
HARMAN WICKS & SWAYNE LTD
HISCOX MGA IN HOUSE SERVICE TEAM
HISCOX UNDERWRITING LTD
HOWDEN INSURANCE BROKERS LIMITED
HOWDEN SPECIALITY LUXEMBOURG SARL
INDEPENDENT BROKING SOLUTIONS LIMITED
INTERNATIONAL PROFESSIONAL RISKS LTD
IRIS INSURANCE BROKERS LTD
JAMES HALLAM LTD
JLT SPECIALTY LTD
JLT TOWERS RE
KLAP BV
KM DASTUR & CO LTD
LA PLAYA LTD
LARK (GROUP) LTD
LEADENHALL UNDERWRITING
LLOYD & PARTNERS LTD
LLOYD'S CHINA
LLOYDS JAPAN INC
LOCHAIN PATRICK INSURANCE BROKERS LTD
LOCKTON COMPANIES LLP
LOCKTON EUROPEAN BROKERS LIMITED
LONMAR GLOBAL RISKS LIMITED
MARINE AVIATION & GENERAL (LONDON) LTD
MARNIX EUROPE LIMITED
MARSH LTD
MAYRIT INSURANCE BROKER
MCGILL & PARTNERS LIMITED
MERIDIAN RISK SOLUTIONS LIMITED
MILLER EUROPE SPRL
MILLER INSURANCE SERVICES LLP
MS AUTOMOTIVE (LONDON) LIMITED
NORDIC FORSAKRING & RISKHANTERING AB
ONEGLOBAL BROKING LIMITED
OXFORD INSURANCE BROKERS LIMITED
OXFORD INSURANCE BROKERS LTD
PANA HARRISON (ASIA) PTE LTD
PARAGON INTERNATIONAL INSURANCE BROKERS LTD
PARKER NORFOLK & PARTNERS LTD
POLICYBEE LLP
PRICE FORBES & PARTNERS LTD
R K HARRISON INSURANCE BROKERS LTD 
RFIB GROUP LIMITED
RIB REINSURANCE INTERNATIONAL BROKERS SPA
ROANOKE INT BROKERS LTD
ROBERTS ARMYTAGE & PARTNERS LTD
ROPNER INSURANCE SERVICES LTD
SAFEONLINE LLP
SEASCOPE INSURANCE SERVICES LTD
SHEPHERD COMPELLO LTD
STAPLE HALL UNDERWRITING SERVICES LTD
STEADFAST GROUP (UK)LIMITED
TASKER & PARTNERS LTD
THE MEDICAL INSURANCE ADVISORY BUREAU LTD T/A MAIB
TIGERRISK (UK) LTD
TYSERS BELGIUM
TYSERS INSURANCE BROKERS LIMITED
UNITED INSURANCE BROKERS LTD
WEMIND
WILLIS LTD
WILLIS TOWERS WATSON SA /NV BELGIUM
