Benchmark Class,RMS Uplift Hurricane,RMS Uplift Earthquake,RMS Overall Uplift
Covers,1.4048,1,1.45
E&S Homeowners,1.7600,1,1.74
Open Market,1.0469,1,1.12
E&S Property,1.0582,1,1.12
Specie,1.0000,1,1
Swiss,1.0000,1,1
Jewellers,1.0000,1,1
