"Path","Name","Type","Mode","Optionality","Label","Default Value"
"cds/exposure/granular/vessels/hull_rating/vessels_list/error_validation_columns/validation_gross_tonnage","validation_gross_tonnage","str","output","n/a","Not set","n/a"
"cds/exposure/granular/vessels/hull_rating/vessels_list/error_validation_columns/validation_dwt","validation_dwt","str","output","n/a","Not set","n/a"
"cds/exposure/granular/vessels/hull_rating/vessels_list/error_validation_columns/validation_year_built","validation_year_built","str","output","n/a","Not set","n/a"
"cds/exposure/granular/vessels/hull_rating/vessels_list/error_validation_columns/validation_flag","validation_flag","str","output","n/a","Not set","n/a"
"cds/exposure/granular/vessels/hull_rating/vessels_list/error_validation_columns/validation_vessel_class","validation_vessel_class","str","output","n/a","Not set","n/a"
"cds/exposure/granular/vessels/hull_rating/vessels_list/error_validation_columns/validation_order_percent","validation_order_percent","str","output","n/a","Not set","n/a"
"cds/exposure/granular/vessels/hull_rating/vessels_list/error_validation_columns/validation_freight_conditions","validation_freight_conditions","str","output","n/a","Not set","n/a"
"cds/exposure/granular/vessels/hull_rating/vessels_list/error_validation_columns/validation_vessel_quality","validation_vessel_quality","str","output","n/a","Not set","n/a"
"cds/exposure/granular/vessels/hull_rating/vessels_list/error_validation_columns/validation_area_of_operation","validation_area_of_operation","str","output","n/a","Not set","n/a"
"cds/exposure/granular/vessels/hull_rating/vessels_list/error_validation_columns/validation_coverage","validation_coverage","str","output","n/a","Not set","n/a"
"cds/exposure/granular/vessels/hull_rating/vessels_list/error_validation_columns/validation_agreed_value","validation_agreed_value","str","output","n/a","Not set","n/a"
"cds/exposure/granular/vessels/hull_rating/vessels_list/error_validation_columns/validation_deductible","validation_deductible","str","output","n/a","Not set","n/a"
"cds/exposure/granular/vessels/hull_rating/vessels_list/error_validation_columns/validation_achieved_rate","validation_achieved_rate","str","output","n/a","Not set","n/a"
"cds/exposure/granular/vessels/hull_rating/vessels_list/error_validation_columns","error_validation_columns","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/vessels/hull_rating/vessels_list/vessel_details/imo","imo","str","input","optional","IMO","None"
"cds/exposure/granular/vessels/hull_rating/vessels_list/vessel_details/name","name","str","input","optional","Name","None"
"cds/exposure/granular/vessels/hull_rating/vessels_list/vessel_details/gross_tonnage","gross_tonnage","float","input","optional","Gross Tonnage","None"
"cds/exposure/granular/vessels/hull_rating/vessels_list/vessel_details/vessel_class","vessel_class","str","input","optional","Class","None"
"cds/exposure/granular/vessels/hull_rating/vessels_list/vessel_details/order_percent","order_percent","float","input","optional","Order (%)","None"
"cds/exposure/granular/vessels/hull_rating/vessels_list/vessel_details/freight_conditions","freight_conditions","str","input","optional","Freight Conditions","None"
"cds/exposure/granular/vessels/hull_rating/vessels_list/vessel_details/vessel_quality","vessel_quality","str","input","optional","Vessel/Mach. Quality","None"
"cds/exposure/granular/vessels/hull_rating/vessels_list/vessel_details/area_of_operation","area_of_operation","str","input","optional","Area of Operation","None"
"cds/exposure/granular/vessels/hull_rating/vessels_list/vessel_details/fleet_casualty_history","fleet_casualty_history","str","output","n/a","Not set","n/a"
"cds/exposure/granular/vessels/hull_rating/vessels_list/vessel_details/owner_quality","owner_quality","str","output","n/a","Not set","n/a"
"cds/exposure/granular/vessels/hull_rating/vessels_list/vessel_details","vessel_details","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/vessels/hull_rating/vessels_list/unique_imo","unique_imo","str","output","n/a","Not set","n/a"
"cds/exposure/granular/vessels/hull_rating/vessels_list/inception_date","inception_date","date","input","optional","Inception","None"
"cds/exposure/granular/vessels/hull_rating/vessels_list/expiry_date","expiry_date","date","input","optional","Expiry","None"
"cds/exposure/granular/vessels/hull_rating/vessels_list/vessel_type","vessel_type","str","input","optional","Type","None"
"cds/exposure/granular/vessels/hull_rating/vessels_list/dwt","dwt","float","input","optional","DWT","None"
