Loan to Deposit Ratio,Form 14,Form 15,Form 15 (Finance),Form 15 (Small Loan),Form 23,Form 24,Form 24 (Savings Bank),Form 24 (SLA),Form 25
0,0,0,0,0,0,0.05,0.17,0.06,0
0.351,0,0,0,0,0,0.06,0.17,0.06,0
0.401,0,0,0,0,0,0.07,0.17,0.06,0
0.451,0,0,0,0,0,0.07,0.17,0.06,0
0.501,0,0,0,0,0,0.08,0.17,0.06,0
0.551,0,0,0,0,0,0.08,0.17,0.06,0
0.601,0,0,0,0,0,0.08,0.17,0.06,0
0.651,0,0,0,0,0,0.1,0.17,0.06,0
0.701,0,0,0,0,0,0.11,0.17,0.06,0
0.751,0,0,0,0,0,0.11,0.17,0.06,0
