currency
USD
GBP
EUR
CAD
AED
AFA
AFN
ALL
AMD
ANG
AON
ARS
ATS
AUD
AZM
AZN
BAM
BBD
BDT
BEF
BGN
BHD
BIF
BMD
BND
BOB
BRE
BRL
BSD
BTN
BWP
BYR
BZD
CDF
CHF
CLF
CLP
CNY
COP
CRC
CVE
CYP
CZK
DEM
DJF
DKK
DOP
DZD
EEK
EGP
ERN
ETB
FJD
FKP
FRF
GEL
GHC
GIP
GMD
GNF
GRD
GTQ
GYD
HKD
HNL
HRK
HUF
IDR
IEP
ILS
INR
IQD
IRR
ISK
ITL
JMD
JOD
JPY
KES
KGS
KHR
KMF
KPW
KRW
KWD
KYD
KZT
LAK
LBP
LKR
LRD
LSL
LTL
LUF
LVL
LYD
MAD
MDL
MGA
MKD
MMK
MNT
MOP
MRO
MTL
MUR
MVR
MWK
MXN
MXP
MYR
MZM
NAD
NGN
NIO
NLG
NOK
NPR
NZD
OMR
PAB
PEN
PGK
PHP
PKR
PLN
PTE
PYG
QAR
RON
RUB
RUR
RWF
SAR
SBD
SCR
SDD
SEK
SGD
SHP
SIT
SKK
SLL
SOS
SRD
STD
SVC
SYP
SZL
THB
TJS
TMM
TND
TOP
TRL
TRY
TTD
TWD
TZS
UAH
UGX
UYU
UZS
VEB
VEF
VND
VUV
WST
XAF
XCD
XOF
XPF
YER
ZAR
ZMK
ZWD
""
