Coverage Type,Form 14,Form 15,Form 15 (Finance),Form 15 (Small Loan),Form 23,Form 24,Form 24 (Savings Bank),Form 24 (SLA),Form 25
Basic Bond,0.37,0.27,0.55,0.66,0.34,1.8,0.8,0.91,0.25
Insuring Agreement D (Forgery & Alteration),0.01,0.01,0.01,0.03,0.06,0.11,0.14,0.06,0.01
Agents,0,0,0,0,0,0,0.74,0.78,0.34
Audit Expense,0,0,0,0,0,0,0,0.39,0
Electronic Data Processors,0.01,0,0,0,0.03,0.04,0.02,0.04,0
Extortion — Threats to Persons,0.05,0.05,0.09,0.07,0.07,0.26,0.22,0.14,0.03
Extortion — Threats to Property,0.04,0.03,0.04,0.06,0.12,0.18,0.17,0.16,0.06
Faithful Performance of Duty,0,0,0,0,0.06,0,0,0.19,0
Fraudulent Real Property Mortgages,0,0,0,0,0,0.09,0.06,0.12,0
Fraudulent Transfer Instructions,0.29,0,0,0,0,0.29,0.29,0.29,0.29
Issuers of Register Checks or Personal Money Orders,0,0,0,0,0,0.39,0,0,0
Misplacement,0,0,0,0,0.06,0,0,0,0
Partners/Members,0.64,0,0,0,0,0,0,0,0
Registered Reps. (NASD),0.18,0,0,0,0,0,0,0,0
Servicing Contractors,0,0,0,0,0,1.69,0.74,0.78,0
Trading Loss,0,0.04,0.09,0.06,0.15,0,0,0,0
Transit Cash Letter,0,0,0,0,0,0.4,0.22,0.48,0
Unattended ATMs,0,0,0,0,0.34,1.69,0.74,0.78,0
Computer Systems Fraud (FI),0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Data Processing Service Operations (FI),0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
Telefacsimile Transfer Fraud (FI),0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Voice Initiated Transfer Fraud (FI),0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Account Takeover,0,0,0,0,0,0,0,0,0
Computer Systems Fraud,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Data Processing Service Operations,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
Destruction of Data or Programs by Hacker,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Destruction of Data or Programs by Virus,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Telefacsimile Transfer Fraud,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Voice Computer Systems Fraud,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Voice Initiated Transfer Fraud,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
