coverage,multiplier
0,0
1000,0.25
2500,0.4
5000,0.5
10000,0.7
25000,1
50000,1.3
75000,1.5
100000,1.6
150000,1.7
200000,1.75
250000,1.8
500000,2.05
1000000,2.4
1500000,2.65
2500000,3.1
5000000,4.1
10000000,5.85
25000000,10.35
50000000,16.6
