"Path","Name","Type","Mode","Optionality","Label","Default Value","Async Input","Async Output"
"cds/exposure/aggregate/accumulated_profitability","accumulated_profitability","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/aggregate/return_on_assets/value","value","float","output","n/a","Value","n/a","['rarc_task']","n/a"
"cds/exposure/aggregate/return_on_assets/rag_status","rag_status","str","output","n/a","RAG","n/a","['rarc_task']","n/a"
"cds/exposure/aggregate/return_on_assets","return_on_assets","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/aggregate/book_value_liability_ratio/value","value","float","output","n/a","Value","n/a","['rarc_task']","n/a"
"cds/exposure/aggregate/book_value_liability_ratio/rag_status","rag_status","str","output","n/a","RAG","n/a","['rarc_task']","n/a"
"cds/exposure/aggregate/book_value_liability_ratio","book_value_liability_ratio","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/aggregate/asset_turnover/value","value","float","output","n/a","Value","n/a","['rarc_task']","n/a"
"cds/exposure/aggregate/asset_turnover/rag_status","rag_status","str","output","n/a","RAG","n/a","['rarc_task']","n/a"
"cds/exposure/aggregate/asset_turnover","asset_turnover","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/aggregate/z_score/value","value","float","output","n/a","Value","n/a","['rarc_task']","n/a"
"cds/exposure/aggregate/z_score/rag_status","rag_status","str","output","n/a","RAG","n/a","['rarc_task']","n/a"
"cds/exposure/aggregate/z_score","z_score","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/aggregate/roe/value","value","float","output","n/a","Value","n/a","['rarc_task']","n/a"
"cds/exposure/aggregate/roe/rag_status","rag_status","str","output","n/a","RAG","n/a","['rarc_task']","n/a"
"cds/exposure/aggregate/roe","roe","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/aggregate/net_debt_equity_ratio/value","value","float","output","n/a","Value","n/a","['rarc_task']","n/a"
"cds/exposure/aggregate/net_debt_equity_ratio/rag_status","rag_status","str","output","n/a","RAG","n/a","['rarc_task']","n/a"
"cds/exposure/aggregate/net_debt_equity_ratio","net_debt_equity_ratio","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/aggregate/cash_conversion/value","value","float","output","n/a","Value","n/a","['rarc_task']","n/a"
"cds/exposure/aggregate/cash_conversion/rag_status","rag_status","str","output","n/a","RAG","n/a","['rarc_task']","n/a"
"cds/exposure/aggregate/cash_conversion","cash_conversion","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/aggregate/us_ftes","us_ftes","float","input","optional","US FTEs","None","['rarc_task']","n/a"
"cds/exposure/aggregate/row_ftes","row_ftes","float","input","optional","Rest of World FTEs","None","['rarc_task']","n/a"
"cds/exposure/aggregate","aggregate","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure","exposure","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/standard_fields/insured_name","insured_name","str","input","optional","Insured Name","None","['start_renewal_task', 'capiq_fetch_task', 'save_uw_to_pas_reference']","['populate_capiq_data_task']"
"cds/standard_fields/broker","broker","str","input","optional","Broker Name","None","n/a","n/a"
"cds/standard_fields/expiry_date","expiry_date","date","output","n/a","Expiry Date","n/a","n/a","n/a"
"cds/standard_fields/inception_date","inception_date","date","output","n/a","Inception Date","n/a","n/a","n/a"
"cds/standard_fields/insured_country","insured_country","str","input","optional","Insured Country","None","n/a","n/a"
"cds/standard_fields/insured_postal_code","insured_postal_code","str","input","optional","Insured Postal Code","None","n/a","n/a"
