coverage,size,category,factor
crime,0,S,1
crime,50,S,1
crime,100,M,1
crime,250,M,1
crime,500,M,1
crime,1000,L,1
crime,2500,L,1
crime,10000,L,1
crime,25000,XL,1
pi,0,S,1
pi,50000000,S,1
pi,150000000,S,1
pi,250000000,M,1
pi,750000000,M,1
pi,1000000000,M,1
pi,3000000000,L,1
pi,5000000000,L,1
pi,10000000000,L,1
do,0,S,1
do,100000000,S,1
do,1000000000,S,1
do,2000000000,M,1
do,5000000000,M,1
do,10000000000,M,1
do,25000000000,L,1
do,50000000000,L,1
do,100000000000,XL,1
