retro_dates,crime,pi,do
TBD,1.5,1.5,1.5
Policy Inception,1,1,1
Other - 1 year,1.1,1.1,1.1
Other - 2 years,1.2,1.2,1.2
Other - 3 years,1.3,1.3,1.3
Other - 4 years,1.4,1.4,1.4
Full Retro,1.5,1.5,1.5
