firm_id,firm_name,master_firm_id
9996,2318760 ONTARIO LTD.,9996
13481,232685 ONTARIO INC,13481
1351,2328425 ONTARIO LTD. O/A ICON1 COMMUNCATIONS O/B ROBERT SPANNO,1351
30978,234 TEST INSURED,30978
30981,234567 TEST INSURED,30981
4802,2360465 ONTARIO LTD O/A FROLIC LABS,4802
4060,2366628 ONTARIO INC. O/A THE HOLST EQUATION,4060
5263,2370642 ONTARIO INC,5263
6546,2383920 ONTARIO INC .,6546
12346,2387585 ONTARIO INC,12346
11483,2396744 ONTARIO INC,11483
11484,2396744 ONTARIO INC.,11484
16370,2396927 ONTARIO INC. O/A OMNIUM,16370
1045,2400323 ONTARIO INC O/A PERISCOPE DEVELOPMENT STUDIO,1045
11241,2404393 ONTARIO INCORPORATION,11241
4741,2410945 ONT. INC O/A LAMBDA DIGITAL,4741
11269,2425672 ONTARIO INC O/A JUSTWIN IT SOLUTIONS,11269
2112,2442867 ONTARIO INC.,2112
11248,2447250 ONTARIO INC,11248
13833,2452030 ONTARIO INC O/A SPARK,13833
1252,2457032 ONTARIO INC.,1252
1471,2461595 ONTARIO LIMITED O/A PHILOSOPHICAL THERAPY,1471
11619,2461595 ONTARIO LIMITED OA PHILOSOPHICAL THERAPY,11619
5569,2464573 ONTARIO INC DBA STRENGTH.COM,5569
10952,2467274 ONTARIO INC. O/A QUALITY UNDERWRITING SERVICES LTD.,10952
5657,247 LABS,5657
18870,24-7 PRODUCTS LLC,18870
3809,2477535 ONTARIO INC. O/A REGXIA INC.,3809
11247,2477950 ONTARIO CORPORATION O/A TSC PROCUREMENT SERVICES-,11247
5760,2478187 ONTARIO LTD. O/A BRIMLEY WENLOCK XRAY AND ULTRASOUND CLINIC,5760
4781,2481883 ONTARIO INC,4781
2561,2513013 ONTARIO INC.,2561
1340,2526359 ONTARIO INC,1340
6189,2529515 ONTARIO INC O/A OPTOVIA,6189
11652,2552853 ONTARIO INC O/A HYDRA SEARCH GROUP,11652
11975,2567388 ONTARIO INC,11975
4469,2581828 ONTARIO INC,4469
2922,2585481 ONTARIO LTD.,2922
2012,2587339 ONTARIO LTD.,2012
2107,2590763 ONTARIO LTD O/B SHANNON HADFIELD,2107
5756,2596195 ONTARIO  INC.,5756
13026,2599408 ONTARIO INC. O/A CONVERSATIONALHEALTH,13026
13946,2608483 ONTARIO INC. O/A PETTY CASH,13946
3038,"2610935 ONTARIO LTD., O/A PLEXXIS TECHNOLOGIES",3038
1601,2612980 ONTARIO INC. DBA SF CONSULTING SERVICES,1601
3963,2621956 ONTARIO INC,3963
820,2622292 ONTARIO INC. O/A HEALTHPOINT MEDICINE,820
3922,2625932 ONTARIO INC. O/B ACHYUT RAJ SUBEDI,3922
4757,2630629 ONTARIO INC. O/A BLOOM CARE SOLUTIONS,4757
1971,2632531 ONTARIO CORP,1971
2048,2635141 ONTARIO INC. O/A ABSOLUTE WHITENING,2048
3427,2636089 ONTARIO INC,3427
2760,2637857 ONTARIO INC.,2760
10999,2641513 ONTARIO INC,10999
4389,2647846 ONTARIO INC.,4389
4776,2652721 ONTARIO INC.,4776
5026,2652880 ONTARIO INC,5026
10943,2655789 ONTARIO INC. O/A MASSAGE EXPERTS,10943
21595,2661921 ONTARIO INC. O/A ELBY BIKE COMPANY,21595
10914,2668806 ONTARIO INC. O/B CLIFFORD BULL,10914
11914,2678234 ONTARIO CORPORATION,11914
26524,2692272 Ontario Inc oa Genelyn Canada Genelyn North America Genelyn Asia Canadian School of Advanced PREP ob Karl Wenzel,26524
6918,2733013 CANADA INC. FASLRS HFT COMMUNICATIONS,6918
6885,2748-7511 QUEBEC INC,6885
6886,2748-7511 QUEBEC INC. FASLRS FORMATIK,6886
4206,280817330 ONTARIO INC. O/B JULIA MARIA ESPINOSA,4206
24786,2823585 ONTARIO INC,24786
25406,2905 ALF LLC dba Marigold at 11th Street,25406
25707,29METALS,25707
23566,2A,23566
30907,2B FILMS LTD,30907
31789,2C2P,31789
31130,2degrees & Orcon Holdings Limited,31130
20927,2G ENERGY,20927
14614,2GO GROUP INC,14614
12059,2HIGH LLC,12059
10817,2M PROCESS SOLUTIONS INC.,10817
15135,"2ND M&M INVESTMENTS, LLC",15135
996,3 APPLES HIGH INC. O/A 3 APPLES HIGH,996
22715,3 Little Bees LLC dba thebrandedmask,22715
6585,3 SAB NETWORK LIMITED,6585
4279,3 WIN CORP,4279
31653,321 CREDITO,31653
3147,3212993 NOVA SCOTIA LIMITED O/A SUMMIT SEARCH GROUP,3147
1543,3216558 NOVA SCOTIA LIMITED,1543
3127,3305457 CANADA INC. O/A JRP ENGINEERING,3127
12987,3320939 NOVA SCOTIA LIMITED,12987
4843,3428311 CANADA INC/BONHEUR EN VRAC ET BEVCO STRATEGIES,4843
30974,345 TEST INSURED,30974
13885,345245 ALBERTA LTD A/O GLOBAL TRAINING CENTRE,13885
30982,3456 TEST INSURED,30982
30983,3456789 TEST INSURED,30983
2184,36 SOUTH CAPITAL ADVISORS,2184
5931,360 AGENCY INC.,5931
16250,360 CAPITAL MANAGEMENT,16250
16248,360 CAPITAL PARTNERS,16248
25609,360 EXPERIENCE,25609
4210,360 SOCIALYTICS INC,4210
6500,3612040 CANADA INC. FASLRS DOMAINEPLUS.COM,6500
3794,3634311 CANADA INC.,3794
9419,3822630 CANADA INC. (3822630 CANADA INC.),9419
12586,"3902641 CANADA INC. O/A N-VISIONIT INTERACTIVE, BRENTIX SOLUTIONS INC.",12586
3541,3CE TECHNOLOGIES INC,3541
14682,3D HUBS,14682
25247,3D INVESTMENT PARTNERS PTE. LTD.,25247
4853,3D PERFUSION LTD.,4853
4857,3D SIGNATURES INC.,4857
9804,3D SYSTEMS CORPORATION,9804
31411,3i Infotech Limited,31411
13442,3M,13442
6223,3M COMPANY,6223
24576,3M&L LLC,24576
13127,3P VANTAGE INC.,13127
21004,3PL LEARNING LIMITED,21004
17773,3RX WELLNESS LLC,17773
26460,3SBIO INC,26460
9614,3-SIGMA CONSULTING INC.,9614
1796,4 COMPUTER SYSTEMS INC,1796
31567,4 State Trucks,31567
