industry,subindustry,split,factor
Banks,Any,Interest income,0.7
Banks,Any,Fee income,1
Banks,Any,Trading income,1.3
Banks,Any,Other income,1
Insurance companies,Any,Life insurance,1
Insurance companies,Any,P&C insurance,0.6
Insurance companies,Any,Personal lines,1
Insurance companies,Any,Commercial lines,1
Insurance companies,Any,Medical/Healthcare,1.1
Insurance companies,Any,Reinsurance,0.9
Insurance companies,Any,Other,1
Financial infrastructure & exchanges,Any,Exchange,1
Financial infrastructure & exchanges,Any,Listing,1.15
Financial infrastructure & exchanges,Any,Clearing & Settlement,0.85
Financial infrastructure & exchanges,Any,Depositary,0.7
Financial infrastructure & exchanges,Any,Other,1
Investment managers,Any,Long only,1
Investment managers,Any,Hedge Funds (long/short),1.2
Investment managers,Any,Private Equity,1.1
Investment managers,Any,Venture Capital,1.3
Investment managers,Any,Real Estate,1.1
Investment managers,Any,Fund of funds,0.95
Investment managers,Any,Multi-strategy,1
Other,Stock brokers/dealers,Institutional advisory,1
Other,Stock brokers/dealers,Institutional execution only,0.75
Other,Stock brokers/dealers,Retail advisory,1.15
Other,Stock brokers/dealers,Retail execution only,0.9
Other,Stock brokers/dealers,Retail Discretionary,1.05
Other,Stock brokers/dealers,Other,1
Other,Trust Administrator,Establishment/admin of companies,1
Other,Trust Administrator,Establishment/admin of trusts,1
Other,Trust Administrator,Outside board positions,1
Other,Trust Administrator,Legal advice,1
Other,Trust Administrator,Accountancy,1
Other,Trust Administrator,Tax,1
Other,Trust Administrator,Other,1
