coverage,parameter,value
crime,min,0.1
crime,max,10
crime,a,0.0299
crime,b,0.4565
pi,min,0.2
pi,max,11
pi,a,0.1283
pi,b,0.4051
do,min,0.2
do,max,5
do,a,0.0682
do,b,0.2913
