type,europe,european_union,uk,ww,wx
Entertainment/Sitcom/Daytime,1568.58447488584,1568.58447488584,1568.58447488584,2358.90410958904,1651.14155251142
Drama/Chat Show,1792.4200913242,1792.4200913242,1792.4200913242,2830.13698630137,1886.75799086758
Live,1792.4200913242,1792.4200913242,1792.4200913242,2830.13698630137,1886.75799086758
Game Show,1792.4200913242,1792.4200913242,1792.4200913242,2830.13698630137,1886.75799086758
Reality,3137.16894977169,3137.16894977169,3137.16894977169,4245.66210045662,3302.28310502283
Factual (non investigative/non contentious),1568.58447488584,1568.58447488584,1568.58447488584,2594.52054794521,1651.14155251142
Factual (non - investigative),1792.4200913242,1792.4200913242,1792.4200913242,2830.13698630137,1886.75799086758
Factual (investigative),3137.16894977169,3137.16894977169,3137.16894977169,4245.66210045662,3302.28310502283
Children/Religious,1210.27397260274,1210.27397260274,1210.27397260274,2217.35159817352,1273.97260273973
Sport/Ancient History/Nature,1210.27397260274,1210.27397260274,1210.27397260274,2217.35159817352,1273.97260273973
