revenue_low,revenue_high,slope,intercept,slope_high,intercept_high,min_deductible
0,3.5e+07,0.000714285714285714,10000,0.000285714285714286,25000,10000
35000001,99999999,0.001,35000,0.001,35000,87500.0025
1e+08,299999999,0.0002875,106250,0.0002875,106250,250000
3e+08,999999999999,0.000175,140000,0.000175,140000,750000
