per_occurrence_limit,next,low,medium,high
2000,10000,0.1,0.08,0.05
10000,25000,0.15,0.13,0.11
25000,50000,0.3,0.26,0.22
50000,100000,0.5,0.45,0.42
1.00E+05,250000,0.6,0.575,0.55
250000,3.00E+05,0.675,0.6469,0.6188
3.00E+05,5.00E+05,0.7,0.67085,0.6417
5.00E+05,1.00E+06,0.8,0.76665,0.7333
1.00E+06,2.00E+06,1,1,1
2.00E+06,2500000,1.236521739,1.349218073,1.463231476
2500000,3.00E+06,1.362913043,1.528026009,1.694808004
3.00E+06,4.00E+06,1.461956522,1.653264421,1.845846403
4.00E+06,5.00E+06,1.665217391,1.906425475,2.147923202
5.00E+06,7.00E+06,1.85,2.15,2.45
7.00E+06,7500000,2.30366242,2.776329506,3.283057671
7500000,1.00E+07,2.39763535,2.915933884,3.476688071
1.00E+07,1.50E+07,2.8675,3.655,4.5325
1.50E+07,2.00E+07,3.65375,4.9325,6.46125
2.00E+07,3.00E+07,4.44,6.21,8.39
3.00E+07,5.00E+07,5.55,8.22825,11.746
5.00E+07,1.00E+08,7.77,12.26475,18.458
1.00E+08,2.00E+08,10.50240812,16.57778764,24.94896383
2.00E+08,2.00E+08,13.84709497,21.8572919,32.89442458
